u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,access,junction,bridge,tunnel
41608036,984955925,0,535112647,False,East Mountain View Road,tertiary,15 mph,4.948,"LINESTRING (-112.07297 33.5750001, -112.0729166 33.5749992)",3,,,,,
41608036,2420401444,0,535112647,False,East Mountain View Road,tertiary,15 mph,26.321,"LINESTRING (-112.07297 33.5750001, -112.0732541 33.574998)",3,,,,,
41610745,5873667748,0,5668630,False,Hospital Drive,unclassified,15 mph,6.402,"LINESTRING (-112.0295097 33.4564018, -112.0294453 33.4563811)",2,,,,,
41610745,5873667749,0,5668630,False,Hospital Drive,unclassified,15 mph,7.334,"LINESTRING (-112.0295097 33.4564018, -112.0295875 33.4564135)",2,,,,,
41633921,2604908959,0,254686428,True,West Black Canyon Boulevard,residential,15 mph,19.379,"LINESTRING (-112.1420801 33.798188, -112.1420243 33.798356)",,,,,,
41639808,5213724171,0,366531435,False,East Highland Avenue,tertiary,20 mph,42.203,"LINESTRING (-112.0484948 33.5055922, -112.0480398 33.5056026)",2,,,,,
41639808,5636823610,0,366531435,False,East Highland Avenue,tertiary,20 mph,27.45,"LINESTRING (-112.0484948 33.5055922, -112.0487908 33.5055875)",2,,,,,
41640208,41640209,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,6.93,"LINESTRING (-111.9718671 33.3763641, -111.971832 33.3764191)",1,,,roundabout,,
41640209,5024323378,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,6.926,"LINESTRING (-111.971832 33.3764191, -111.9718169 33.3764801)",1,,,roundabout,,
41640210,41640211,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,7.812,"LINESTRING (-111.9719312 33.376674, -111.9720075 33.3767036)",1,,,roundabout,,
41640211,41642977,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,7.801,"LINESTRING (-111.9720075 33.3767036, -111.972091 33.3767113)",1,,,roundabout,,
41642977,5024323380,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,7.808,"LINESTRING (-111.972091 33.3767113, -111.9721732 33.3766965)",1,,,roundabout,,
41642978,327748950,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,8.32,"LINESTRING (-111.9722455 33.3766607, -111.9723034 33.3766036)",1,,,roundabout,,
41642980,41642982,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,7.879,"LINESTRING (-111.9723338 33.3765374, -111.9723372 33.3764666)",1,,,roundabout,,
41642982,42309967,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,7.891,"LINESTRING (-111.9723372 33.3764666, -111.9723133 33.3763985)",1,,,roundabout,,
41673225,3348314414,0,5668630,False,Hospital Drive,unclassified,15 mph,16.189,"LINESTRING (-112.0302182 33.45641, -112.0300437 33.4564087)",2,,,,,
41678398,41678410,0,168381723,False,Phoenix Metro RV Park,service,10 mph,36.484,"LINESTRING (-112.1089485 33.6935448, -112.1089505 33.6938729)",,,private,,,
41678398,41678421,0,168381723,False,Phoenix Metro RV Park,service,10 mph,32.703,"LINESTRING (-112.1089485 33.6935448, -112.1089462 33.6932507)",,,private,,,
41678398,41678399,0,807942864,False,Phoenix Metro RV Park,service,10 mph,70.452,"LINESTRING (-112.1089485 33.6935448, -112.1097097 33.6935628)",,,private,,,
41678399,41678398,0,807942864,False,Phoenix Metro RV Park,service,10 mph,70.452,"LINESTRING (-112.1097097 33.6935628, -112.1089485 33.6935448)",,,private,,,
41678399,41678401,0,807942864,False,Phoenix Metro RV Park,service,10 mph,73.727,"LINESTRING (-112.1097097 33.6935628, -112.1105066 33.6935605)",,,private,,,
41678401,41678399,0,807942864,False,Phoenix Metro RV Park,service,10 mph,73.727,"LINESTRING (-112.1105066 33.6935605, -112.1097097 33.6935628)",,,private,,,
41678401,41678403,0,807942864,False,Phoenix Metro RV Park,service,10 mph,142.221,"LINESTRING (-112.1105066 33.6935605, -112.1120438 33.6935718)",,,private,,,
41678403,41678401,0,807942864,False,Phoenix Metro RV Park,service,10 mph,142.221,"LINESTRING (-112.1120438 33.6935718, -112.1105066 33.6935605)",,,private,,,
41678410,41678412,0,168381723,False,Phoenix Metro RV Park,service,10 mph,37.018,"LINESTRING (-112.1089505 33.6938729, -112.1089535 33.6942058)",,,private,,,
41678410,41678398,0,168381723,False,Phoenix Metro RV Park,service,10 mph,36.484,"LINESTRING (-112.1089505 33.6938729, -112.1089485 33.6935448)",,,private,,,
