u,v,key,osmid,name,highway,oneway,length,geometry,bridge,lanes,width,tunnel,maxspeed,junction,ref,access
154402684,3190325124,0,473022222,Fibula utca,cycleway,False,53.979,"LINESTRING (19.0424955 47.430615, 19.0432043 47.4306908)",,,,,,,,
154402686,154402687,0,313104865,,cycleway,False,50.288,"LINESTRING (19.042678 47.4303289, 19.043339 47.4303966)",,,,,,,,
154402686,2837768964,0,313104865,,cycleway,False,6.576,"LINESTRING (19.042678 47.4303289, 19.0425924 47.4303169)",,,,,,,,
154402687,4556243167,0,313104865,,cycleway,False,6.101,"LINESTRING (19.043339 47.4303966, 19.0434201 47.4303965)",,,,,,,,
154402687,154402686,0,313104865,,cycleway,False,50.288,"LINESTRING (19.043339 47.4303966, 19.042678 47.4303289)",,,,,,,,
154402688,4556243164,0,313104865,,cycleway,False,6.088,"LINESTRING (19.0436797 47.4302907, 19.0436901 47.4302364)",,,,,,,,
154402688,4556243165,0,313104865,,cycleway,False,3.846,"LINESTRING (19.0436797 47.4302907, 19.043653 47.4303202)",,,,,,,,
154402690,6476652555,0,313104865,,cycleway,False,6.464,"LINESTRING (19.0436692 47.43018, 19.0436317 47.4301277)",,,,,,,,
154402690,4556243164,0,313104865,,cycleway,False,6.465,"LINESTRING (19.0436692 47.43018, 19.0436901 47.4302364)",,,,,,,,
154402691,2837776113,0,313104865,,cycleway,False,71.563,"LINESTRING (19.0431549 47.4284631, 19.0428919 47.4278446)",,,,,,,,
154402691,2837776112,0,313104865,,cycleway,False,38.641,"LINESTRING (19.0431549 47.4284631, 19.0432553 47.4288039)",,,,,,,,
154402694,4289020072,0,313104865,,cycleway,False,8.622,"LINESTRING (19.0425385 47.4270198, 19.0425029 47.4269461)",,,,,,,,
154402694,2837776163,0,313104865,,cycleway,False,40.901,"LINESTRING (19.0425385 47.4270198, 19.0427048 47.42737)",,,,,,,,
154402695,2837776174,0,345221085,,cycleway,False,112.562,"LINESTRING (19.0420763 47.4260402, 19.0420561 47.425028)",,,,,,,,
154402695,2837776172,0,345221085,,cycleway,False,19.415,"LINESTRING (19.0420763 47.4260402, 19.0421066 47.4262136)",,,,,,,,
154402696,2837776171,0,396603338,,cycleway,False,141.623,"LINESTRING (19.0421323 47.4235225, 19.0420525 47.424795)",,,,,,,,
154402696,3638032896,0,403039799,,cycleway,False,393.039,"LINESTRING (19.0421323 47.4235225, 19.0423893 47.4199921)",,,,,,,,
154480315,2914996716,0,162097472,Ártér utca,cycleway,False,10.093,"LINESTRING (19.0399647 47.4109719, 19.0399699 47.4108812)",,,,,,,,
