u,v,key,osmid,oneway,name,highway,length,geometry,bridge,width,lanes,tunnel,maxspeed,junction,ref,access
261592015,732464497,0,384579733,True,,cycleway,49.056000000000004,"LINESTRING (19.0289434 47.5496665, 19.0290121 47.5495145, 19.0290435 47.5494771, 19.0292378 47.5493284, 19.0292463 47.5493086, 19.0292272 47.5492928)",,,,,,,,
262142944,1563441215,0,220535791,True,,cycleway,8.065,"LINESTRING (19.0478706 47.5133065, 19.0478436 47.5133767)",yes,,,,,,,
262676190,1312665088,0,236483260,True,,cycleway,13.435,"LINESTRING (19.0568777 47.4867962, 19.0567148 47.4867464)",,,,,,,,
262676739,1312665088,0,375661286,False,,cycleway,166.541,"LINESTRING (19.0553912 47.487931, 19.0554279 47.4878789, 19.0554426 47.4878233, 19.055468 47.4878005, 19.0564126 47.4870886, 19.0565989 47.4868939, 19.0567148 47.4867464)",,,,,,,,
265611159,687179236,0,"[107171216, 633263042, 54584518]",False,Gémes utca,cycleway,17.831,"LINESTRING (18.944555 47.5571449, 18.9445614 47.5571833, 18.9445696 47.5572303, 18.9444832 47.5572765)",yes,1.5 m,,,,,,
268169830,356458549,0,"[298995401, 263433652, 27056404]",False,,cycleway,356.26899999999995,"LINESTRING (19.0055994 47.4628071, 19.005607 47.4628638, 19.0055981 47.4629015, 19.0055578 47.4629265, 19.0054759 47.4629501, 19.0054223 47.4629771, 19.0053989 47.4630079, 19.0053543 47.4632153, 19.0052957 47.4634916, 19.0051983 47.4636395, 19.0051777 47.4636837, 19.0051589 47.463915, 19.0051509 47.4640109, 19.0051506 47.4640239, 19.0051532 47.4640584, 19.0051593 47.4640868, 19.0051911 47.4641416, 19.005217 47.4641873, 19.0052363 47.4642426, 19.0052697 47.4643275, 19.0053047 47.4643866, 19.0053381 47.4644231, 19.0053437 47.4644477, 19.0053318 47.4644759, 19.0053064 47.46449, 19.0052329 47.4645275, 19.0051919 47.464543, 19.0051569 47.4645496, 19.0051184 47.4645538, 19.0050902 47.4645506, 19.0050517 47.4645454, 19.0050149 47.4645454, 19.0049818 47.464548, 19.0049504 47.4645566, 19.0049142 47.4645708, 19.0045354 47.4647726, 19.004302 47.4648979, 19.0042666 47.4649279, 19.004239 47.4649583, 19.0042214 47.4649773, 19.0041909 47.4650027, 19.0041427 47.4650347, 19.0037919 47.4652258, 19.0037691 47.4652457, 19.0037246 47.4653133)",,,,,,,,
268169830,1776911456,0,"[35154536, 504026250, 298995398]",False,,cycleway,652.12,"LINESTRING (19.0055994 47.4628071, 19.0058145 47.4628207, 19.0059983 47.4628334, 19.0061293 47.4628547, 19.0062314 47.4628875, 19.0062714 47.4628921, 19.0063084 47.4628963, 19.0063814 47.4629287, 19.0069667 47.4631489, 19.007035 47.463161, 19.0072655 47.4632466, 19.008069 47.4635479, 19.0081848 47.463591, 19.008265 47.4636408, 19.0093829 47.4640578, 19.0096653 47.4641631, 19.0097738 47.4642035, 19.0099123 47.4642552, 19.0099297 47.4642617, 19.0099979 47.4643144, 19.0101179 47.4643671, 19.0102054 47.4643992, 19.0103435 47.4644499, 19.0104889 47.464512, 19.0105414 47.4645538, 19.0105963 47.4645743, 19.010804 47.4646542, 19.0109385 47.464706, 19.0111895 47.4648022, 19.0112327 47.4648171, 19.0112981 47.464831, 19.0113504 47.4648437, 19.0115773 47.464927, 19.0117202 47.46498, 19.0117859 47.4649978, 19.0118286 47.4650091, 19.0118895 47.4650299, 19.0119363 47.4650353, 19.0120154 47.4650396, 19.0120597 47.4650469, 19.0121271 47.4650692, 19.0123411 47.4651532, 19.0125281 47.4652345, 19.0125705 47.4652521, 19.0127335 47.4653199, 19.0128788 47.4653666, 19.013222 47.4655013)",,,,,,,,
268169830,412348483,0,"[35154532, 632643398, 632643396]",False,,cycleway,81.95500000000001,"LINESTRING (19.0055994 47.4628071, 19.0055893 47.462778, 19.005568 47.462714, 19.0055589 47.462679, 19.0055591 47.4626348, 19.0055656 47.4626067, 19.0055973 47.4625716, 19.0056294 47.4625387, 19.0056516 47.4625034, 19.00562 47.4624097, 19.0055358 47.462379, 19.0054623 47.462356, 19.0054248 47.4623395, 19.0054032 47.4623182, 19.0053941 47.4622997, 19.0053969 47.4622532, 19.0053964 47.4622051, 19.0053957 47.4621764)",,,,,,,,
268169841,4942427936,0,504026249,True,,cycleway,5.476,"LINESTRING (19.0153195 47.466359, 19.0152554 47.4663356)",,,,,,,,
268169841,4127688548,0,"[277760672, 598944833, 380460867, 598638821, 385208742, 598638823, 385208733]",False,,cycleway,205.89200000000005,"LINESTRING (19.0153195 47.466359, 19.0154458 47.4664194, 19.0154884 47.4664394, 19.0155113 47.4664367, 19.0155307 47.4664226, 19.0155839 47.4663732, 19.0156374 47.4663238, 19.0156105 47.4662925, 19.0155756 47.4662626, 19.0155178 47.4662238, 19.0154654 47.4661602, 19.0151326 47.4658116, 19.0151713 47.4657936, 19.0153881 47.4659791, 19.0155154 47.4660651, 19.0155572 47.4660718, 19.015603 47.4660706, 19.015987 47.4658985, 19.0160369 47.4658618, 19.0160633 47.4658464, 19.0161141 47.465815, 19.0161519 47.4657895, 19.0161596 47.4657699)",,,,yes,,,,
