y,x,osmid,ref,highway,geometry
52.5589927,13.1941908,33551124,,,POINT (13.1941908 52.5589927)
52.5580594,13.1942541,33551125,,,POINT (13.1942541 52.5580594)
52.5620772,13.198671,33551126,,,POINT (13.198671 52.5620772)
52.5621101,13.2002635,33551127,,,POINT (13.2002635 52.5621101)
52.5595106,13.1991203,33551134,,,POINT (13.1991203 52.5595106)
52.559514,13.1997075,33551137,,,POINT (13.1997075 52.559514)
52.5594144,13.1976494,33551147,,,POINT (13.1976494 52.5594144)
52.5413011,13.1324687,33553104,,,POINT (13.1324687 52.5413011)
52.5405285,13.1325344,33553106,,,POINT (13.1325344 52.5405285)
52.5406626,13.1299981,33553107,,,POINT (13.1299981 52.5406626)
52.5443799,13.12606,33553108,,,POINT (13.12606 52.5443799)
52.5464468,13.1262092,33553112,,,POINT (13.1262092 52.5464468)
52.5412539,13.1249136,33553113,,,POINT (13.1249136 52.5412539)
52.5409121,13.1275296,33553115,,,POINT (13.1275296 52.5409121)
52.5437548,13.1335442,33553122,,,POINT (13.1335442 52.5437548)
52.544896,13.1338285,33553124,,,POINT (13.1338285 52.544896)
52.5446473,13.1286712,33553128,,,POINT (13.1286712 52.5446473)
52.5449837,13.129911,33553129,,,POINT (13.129911 52.5449837)
52.4925157,13.4137707,33624342,,,POINT (13.4137707 52.4925157)
52.4916909,13.416721,33624343,,,POINT (13.416721 52.4916909)
52.5496323,13.2004973,33695391,,,POINT (13.2004973 52.5496323)
52.5479188,13.2037858,33748201,,,POINT (13.2037858 52.5479188)
52.5479902,13.2054391,33748229,,,POINT (13.2054391 52.5479902)
52.4250976,13.3596298,33775677,,,POINT (13.3596298 52.4250976)
52.4234635,13.3573522,33775684,,,POINT (13.3573522 52.4234635)
52.5683914,13.2349405,33784144,,turning_circle,POINT (13.2349405 52.5683914)
52.5848268,13.219994,33784922,,,POINT (13.219994 52.5848268)
52.5847509,13.2219204,33784923,,,POINT (13.2219204 52.5847509)
52.5835155,13.2246401,33784925,,,POINT (13.2246401 52.5835155)
52.5834424,13.2265328,33784926,,,POINT (13.2265328 52.5834424)
52.5853298,13.2296064,33784935,,,POINT (13.2296064 52.5853298)
52.5842762,13.2289518,33784939,,,POINT (13.2289518 52.5842762)
52.5865969,13.2303671,33784942,,,POINT (13.2303671 52.5865969)
52.5837102,13.2312403,33784944,,,POINT (13.2312403 52.5837102)
52.5832322,13.2332248,33784945,,,POINT (13.2332248 52.5832322)
52.5839614,13.2287485,33784946,,,POINT (13.2287485 52.5839614)
52.5825816,13.2305441,33784947,,,POINT (13.2305441 52.5825816)
52.5873327,13.2260444,33784949,,,POINT (13.2260444 52.5873327)
52.5817356,13.2246336,33784950,,,POINT (13.2246336 52.5817356)
52.5819089,13.2201676,33784951,,,POINT (13.2201676 52.5819089)
52.5818522,13.2213779,33784952,,,POINT (13.2213779 52.5818522)
52.5799332,13.221159,33784953,,turning_circle,POINT (13.221159 52.5799332)
52.5817896,13.2230797,33784954,,,POINT (13.2230797 52.5817896)
