u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,ref,bridge,tunnel,junction,width,access,service
125444,4519617474,0,743336519,False,Frederiksborgvej,tertiary,50,11.687,"LINESTRING (12.5320924 55.7119129, 12.532091 55.7118078)",,,,,,,,
125444,8091690,0,162958933,True,Frederiksborgvej,tertiary,50,83.715,"LINESTRING (12.5320924 55.7119129, 12.532163 55.7120405, 12.5321395 55.7121971, 12.5321268 55.7122913, 12.5320208 55.712654)",,,,,,,,
125444,1704109234,0,455570565,True,Tomsgårdsvej,primary,50,89.34,"LINESTRING (12.5320924 55.7119129, 12.5317947 55.7118612, 12.5316332 55.7118206, 12.5313843 55.7117396, 12.5313439 55.7117226, 12.5312783 55.711695, 12.5311188 55.7116142, 12.5309587 55.7114689)",2,O2,,,,,,
125448,299587330,0,2861,True,Tomsgårdsvej,primary,50,12.844,"LINESTRING (12.521675 55.7059562, 12.521708 55.7060702)",2,O2,,,,,,
125448,279151074,0,25611535,True,Frederikssundsvej,tertiary,50,103.561,"LINESTRING (12.521675 55.7059562, 12.5218902 55.7059091, 12.5224807 55.7058041, 12.5227243 55.7057609, 12.5232319 55.7056453)",,,,,,,,
125453,1472966286,0,3992557,False,Limfjordsvej,residential,,12.715,"LINESTRING (12.5054549 55.6928044, 12.505552 55.692704)",,,,,,,,
125453,271646177,0,156930459,False,Limfjordsvej,residential,50,241.421,"LINESTRING (12.5054549 55.6928044, 12.5049535 55.6932794, 12.5047923 55.6934321, 12.5046507 55.6935663, 12.504191 55.6940018, 12.5040659 55.6941194, 12.5040252 55.6941576, 12.503787 55.6943813, 12.5034794 55.6946683)",,,,,,,,
125453,3180508467,0,454885246,True,Sallingvej,tertiary,50,35.049,"LINESTRING (12.5054549 55.6928044, 12.5050498 55.6926952, 12.5049461 55.6926742)",3,,,,,,,
125457,3910340724,0,387804858,False,Jyllingevej,tertiary,50,19.542,"LINESTRING (12.494409 55.6939581, 12.4941236 55.6938873)",4,,,,,,,
125457,1607352156,0,387801270,True,Slotsherrensvej,tertiary,50,42.643,"LINESTRING (12.494409 55.6939581, 12.4941094 55.6940474, 12.4938064 55.6941362)",2,,,,,,,
