u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,bridge,service,tunnel,access
7732632147,321505287,0,820802433,False,,,,footway,,4,5.128,"LINESTRING (-71.0817467 42.3546888, -71.08168430000001 42.3546896)",,,,
7732632151,321505288,0,820802433,False,,,,footway,,4,6.143,"LINESTRING (-71.0819643 42.354664, -71.0820356 42.3546474)",,,,
7732632151,7574270475,0,820802433,False,,,,footway,,4,7.027,"LINESTRING (-71.0819643 42.354664, -71.0818812 42.3546789)",,,,
7732632153,2498747303,0,820802433,False,,,,footway,,4,45.47,"LINESTRING (-71.08369810000001 42.3541984, -71.0842181 42.3540586)",,,,
7732632153,7574270472,0,820802433,False,,,,footway,,4,47.828,"LINESTRING (-71.08369810000001 42.3541984, -71.0831512 42.3543456)",,,,
7732632160,7847744336,0,820802433,False,,,,footway,,4,1.356,"LINESTRING (-71.08478409999999 42.3535755, -71.084782 42.3535634)",,,,
7732632160,2498747306,0,820802433,False,,,,footway,,4,3.841,"LINESTRING (-71.08478409999999 42.3535755, -71.08477980000001 42.3536099)",,,,
7732632163,7735662681,0,824004967,False,,,,footway,,4,1.342,"LINESTRING (-71.0853323 42.3531443, -71.08531600000001 42.3531451)",,,,
7732632163,7732632165,0,824004967,False,,,,footway,,4,7.339,"LINESTRING (-71.0853323 42.3531443, -71.08542009999999 42.3531322)",,,,
7732632164,7732632165,0,824004967,False,,,,footway,,4,5.599,"LINESTRING (-71.0854861 42.3531197, -71.08542009999999 42.3531322)",,,,
7732632164,321505298,0,824004967,False,,,,footway,,4,3.318,"LINESTRING (-71.0854861 42.3531197, -71.085525 42.3531117)",,,,
7732632165,7732632163,0,824004967,False,,,,footway,,4,7.339,"LINESTRING (-71.08542009999999 42.3531322, -71.0853323 42.3531443)",,,,
7732632165,7732632164,0,824004967,False,,,,footway,,4,5.599,"LINESTRING (-71.08542009999999 42.3531322, -71.0854861 42.3531197)",,,,
7732726465,7788622657,0,170658072,False,,,,footway,,4,2.246,"LINESTRING (-71.0728053 42.3593998, -71.07278049999999 42.3594083)",,,,
7732726465,1822108964,0,170658072,False,,,,footway,,4,3.944,"LINESTRING (-71.0728053 42.3593998, -71.0728527 42.3593942)",,,,
7732727561,7824413721,0,833402071,False,2,,Dr. Paul Dudley White Path,cycleway,,4,2.107,"LINESTRING (-71.06845420000001 42.3666421, -71.0684447 42.3666597)",,,,
7732727561,7732632055,0,833402071,False,2,,Dr. Paul Dudley White Path,cycleway,,4,4.448,"LINESTRING (-71.06845420000001 42.3666421, -71.06848479999999 42.3666091)",,,,
7733859265,7732632051,0,833402100,False,2,,Dr. Paul Dudley White Path,cycleway,,4,8.199,"LINESTRING (-71.06967969999999 42.3654027, -71.0696456 42.365472)",,,,
7733859265,1629873790,0,833402100,False,2,,Dr. Paul Dudley White Path,cycleway,,4,22.7,"LINESTRING (-71.06967969999999 42.3654027, -71.0697717 42.3652102)",,,,
7733929811,7733929825,0,127381922,False,,,,cycleway,,,6.659,"LINESTRING (-71.07261200000001 42.3325835, -71.072531 42.3325826)",,,,
7733929811,1029157035,0,127381922,False,,,,cycleway,,,14.022,"LINESTRING (-71.07261200000001 42.3325835, -71.072698 42.3324746)",,,,
7733929812,1029157015,0,127381927,False,,,,footway,,,29.556,"LINESTRING (-71.07506770000001 42.3313039, -71.0754137 42.3312316)",,,,
7733929812,5674267886,0,828466385,False,,,,footway,,,11.323,"LINESTRING (-71.07506770000001 42.3313039, -71.07493719999999 42.3313365)",,,,
7733929825,7733929811,0,127381922,False,,,,cycleway,,,6.659,"LINESTRING (-71.072531 42.3325826, -71.07261200000001 42.3325835)",,,,
7733929825,1029157037,0,836464097,False,,,,footway,,,6.496,"LINESTRING (-71.072531 42.3325826, -71.0724848 42.33263)",,,,
7733929826,1029157004,0,127381927,False,,,,footway,,,17.782,"LINESTRING (-71.076498 42.3312474, -71.076285 42.3312195)",,,,
7733929826,1029157002,0,127381927,False,,,,footway,,,18.293,"LINESTRING (-71.076498 42.3312474, -71.0767065 42.3313049)",,,,
7735662681,321505297,0,824004967,False,,,,footway,,4,5.887,"LINESTRING (-71.08531600000001 42.3531451, -71.0852445 42.3531484)",,,,
7735662681,7732632163,0,824004967,False,,,,footway,,4,1.342,"LINESTRING (-71.08531600000001 42.3531451, -71.0853323 42.3531443)",,,,
7735662682,321504781,0,828685741,False,,,,footway,,4,6.261,"LINESTRING (-71.0847325 42.3532695, -71.0846604 42.3532877)",,,,
