u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,ref,width,tunnel,service
82580319,7183338192,0,536197907,True,Ballivian,residential,20,16.607,"LINESTRING (-58.4736643 -34.5786394, -58.4738454 -34.5786479)",,,,,,,,
82581677,4865564984,0,47084007,True,La Pampa,tertiary,30,60.115,"LINESTRING (-58.4755809 -34.5771965, -58.4750396 -34.5768905)",,,,,,,,
82597411,82665748,0,439437609,True,La Pampa,tertiary,30,73.182,"LINESTRING (-58.4811206 -34.5803976, -58.4804688 -34.5800166)",2,,,,,,,
82597412,5057396105,0,439437609,True,La Pampa,tertiary,30,68.723,"LINESTRING (-58.4821405 -34.5809587, -58.4815142 -34.580618)",2,,,,,,,
82597413,82665861,0,439437609,True,La Pampa,tertiary,30,36.266,"LINESTRING (-58.4850854 -34.5826918, -58.484765 -34.5825)",2,,,,,,,
82604125,99106116,0,10060566,True,Bucarelli,residential,20,145.797,"LINESTRING (-58.4839324 -34.5805735, -58.4848749 -34.5795166)",,,,,,,,
82625610,107932467,0,431771430,True,Tomás Manuel de Anchorena,residential,20,117.669,"LINESTRING (-58.4041815 -34.5925418, -58.4033208 -34.5917558)",,,,,,,,
82625953,107930734,0,11975155,True,French,residential,30,115.127,"LINESTRING (-58.4019036 -34.5892916, -58.4008914 -34.5899061)",2,,,,,,,
82625953,192015824,0,533178304,True,Laprida,residential,20,126.518,"LINESTRING (-58.4019036 -34.5892916, -58.4008991 -34.5885101)",2,,,,,,,
82629085,82629086,0,334329311,True,Espinosa,residential,20,151.951,"LINESTRING (-58.4669537 -34.6011013, -58.468562 -34.6007624)",,,,,,,,
82629102,82532187,0,534852702,True,Almirante Francisco José Seguí,residential,20,140.02,"LINESTRING (-58.462493 -34.6020511, -58.4621282 -34.6008282)",,,,,,,,
82629623,5307691475,0,221686754,False,Avenida Boyacá,secondary,20,69.756,"LINESTRING (-58.4581224 -34.6245656, -58.4577564 -34.6251159)",4,,,,,,,
