u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,tunnel,bridge,access,junction,ref,service
89221808,89221812,0,86784048,True,Ceretti,residential,30,384.166,"LINESTRING (-58.5002157 -34.569298, -58.500783 -34.5685911, -58.501509 -34.5676682, -58.5025362 -34.5664198)",,,,,,,,
89228729,99121268,0,86783999,True,Ceretti,residential,30,111.136,"LINESTRING (-58.4916556 -34.5798588, -58.4923726 -34.5790523)",,,,,,,,
89228729,82671887,0,238814136,True,Ceretti,residential,30,309.198,"LINESTRING (-58.4916556 -34.5798588, -58.4910668 -34.5806185, -58.4906444 -34.5811551, -58.4898366 -34.5822017)",,,,,,,,
89228730,99122119,0,238814136,True,Ceretti,residential,30,289.298,"LINESTRING (-58.4880775 -34.5844344, -58.4875009 -34.5851831, -58.4869314 -34.5859298, -58.4863712 -34.5866241)",,,,,,,,
89228730,84556415,0,"[505885570, 86968901, 47084007, 439437609, 122412701]",True,La Pampa,tertiary,30,1507.865,"LINESTRING (-58.4880775 -34.5844344, -58.4872128 -34.5839475, -58.4870123 -34.5838346, -58.4859586 -34.5832022, -58.4852467 -34.5827861, -58.4850854 -34.5826918, -58.484765 -34.5825, -58.4841031 -34.5821162, -58.4832639 -34.5816296, -58.4831286 -34.5815512, -58.4821405 -34.5809587, -58.4815142 -34.580618, -58.4814082 -34.5805604, -58.4813023 -34.5805028, -58.4811206 -34.5803976, -58.4804688 -34.5800166, -58.4801294 -34.5798148, -58.4793859 -34.5793894, -58.4789665 -34.5791225, -58.4785735 -34.5788953, -58.4782612 -34.5787073, -58.4781601 -34.5786562, -58.477773 -34.5784181, -58.4771354 -34.5780714, -58.4769144 -34.577947, -58.4763321 -34.5776193, -58.4755809 -34.5771965, -58.4750396 -34.5768905, -58.4748316 -34.5767729, -58.4745986 -34.5766452)",2,,,,,,,
89229680,89351914,0,22697228,True,Nueva York,residential,40,694.587,"LINESTRING (-58.4880646 -34.5855599, -58.4888487 -34.5860449, -58.4895906 -34.5864951, -58.4901576 -34.5868341, -58.4907328 -34.5872059, -58.4912788 -34.5875486, -58.4918585 -34.5879073, -58.492993 -34.5886094, -58.4935721 -34.588963, -58.4941299 -34.5893126)",,,,,,,,
89247173,2577185523,0,"[107877264, 250067041, 220822087]",False,Senderos para ciclistas,cycleway,,555.847,"LINESTRING (-58.4358946 -34.5525331, -58.4360989 -34.5525925, -58.4368108 -34.5517625, -58.4368486 -34.5516963, -58.4370687 -34.5514525, -58.4376279 -34.5508043, -58.4376783 -34.5507401, -58.4382534 -34.5500712, -58.4387871 -34.5494632, -58.4393937 -34.5490398, -58.439695 -34.548821)",,,,,,,,
89250032,89182935,0,"[751416000, 439157743, 722092117, 231392092, 101891614]",True,Gorriti,residential,"['20', '30']",296.88100000000003,"LINESTRING (-58.4362364 -34.5856111, -58.4358082 -34.5859543, -58.435741 -34.5860145, -58.4356861 -34.5860584, -58.4356278 -34.5861051, -58.4355618 -34.5861578, -58.4352487 -34.5864131, -58.4346022 -34.5869405, -58.4339232 -34.5874822)",2,,,,,,,
89250959,104325002,0,"[622899275, 10814325]",True,"['Humboldt', 'Soler']",residential,30,211.10399999999998,"LINESTRING (-58.430639 -34.5824209, -58.4306966 -34.5823644, -58.4307415 -34.5823205, -58.4316329 -34.5816118, -58.4310126 -34.5810665)",2,,,,,,,
89251145,1239327239,0,"[107916873, 110162966]",False,Avenida Cerviño,secondary,60,265.347,"LINESTRING (-58.4249954 -34.5745707, -58.4251447 -34.5744621, -58.4253437 -34.5743272, -58.4263852 -34.5735631, -58.4267685 -34.5732819, -58.426825 -34.573243, -58.4269956 -34.5731175, -58.4271732 -34.5729966)",4,,,,,,,
