u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,service,access
63035845,6443743612,0,71691789,False,,John C Lodge Drive,residential,20 mph,13.168,"LINESTRING (-83.0765815 42.3576179, -83.07644000000001 42.3575623)",,
63049759,62572636,0,8770289,True,2,Bryden Street,primary,20 mph,99.311,"LINESTRING (-83.14478 42.371704, -83.145223 42.372535)",,
63049760,63049761,0,178252939,True,,Bryden Street,tertiary,20 mph,48.37,"LINESTRING (-83.14563099999999 42.373755, -83.14572 42.374185)",,
63049761,63049762,0,178252939,True,,Bryden Street,tertiary,20 mph,52.148,"LINESTRING (-83.14572 42.374185, -83.145821 42.374648)",,
63049762,63049763,0,178252939,True,,Bryden Street,tertiary,20 mph,29.972,"LINESTRING (-83.145821 42.374648, -83.14586 42.374916)",,
63049763,63049766,0,178252939,True,,Bryden Street,tertiary,20 mph,18.592,"LINESTRING (-83.14586 42.374916, -83.145871 42.375083)",,
63049766,63049769,0,178252939,True,,Bryden Street,tertiary,20 mph,18.572,"LINESTRING (-83.145871 42.375083, -83.145867 42.37525)",,
63049769,62777335,0,178252939,True,,Bryden Street,tertiary,20 mph,86.036,"LINESTRING (-83.145867 42.37525, -83.145779 42.376021)",,
63049775,63049778,0,691540462,True,,Jeffries Service Drive,tertiary,20 mph,24.257,"LINESTRING (-83.14577199999999 42.376205, -83.14578299999999 42.376423)",,
63049778,63049784,0,691540462,True,,Jeffries Service Drive,tertiary,20 mph,50.501,"LINESTRING (-83.14578299999999 42.376423, -83.145843 42.376875)",,
63049784,62917303,0,691540462,True,,Jeffries Service Drive,tertiary,20 mph,13.036,"LINESTRING (-83.145843 42.376875, -83.145853 42.376992)",,
290421081,4965677593,0,506949379,True,,,service,15 mph,16.265,"LINESTRING (-83.1189376 42.4465668, -83.11893120000001 42.4464206)",,
523589406,2364550755,0,256796180,True,,,service,5 mph,27.807,"LINESTRING (-83.2183982 42.3307755, -83.2186866 42.3309062)",,
736928968,4273557384,0,59427644,False,2,,service,5 mph,7.771,"LINESTRING (-83.0242949 42.3499684, -83.0243789 42.3499363)",parking_aisle,
736928970,736928973,0,59427644,False,2,,service,5 mph,97.232,"LINESTRING (-83.024919 42.3497299, -83.0243182 42.3489766)",parking_aisle,
736928970,4273557384,0,59427644,False,2,,service,5 mph,49.967,"LINESTRING (-83.024919 42.3497299, -83.0243789 42.3499363)",parking_aisle,
736928973,736928974,0,59427644,False,2,,service,5 mph,46.025,"LINESTRING (-83.0243182 42.3489766, -83.02451139999999 42.3485881)",parking_aisle,
736928973,736928970,0,59427644,False,2,,service,5 mph,97.232,"LINESTRING (-83.0243182 42.3489766, -83.024919 42.3497299)",parking_aisle,
736928974,5040678686,0,59427644,False,2,,service,5 mph,9.618,"LINESTRING (-83.02451139999999 42.3485881, -83.0245192 42.3485018)",parking_aisle,
736928974,736928973,0,59427644,False,2,,service,5 mph,46.025,"LINESTRING (-83.02451139999999 42.3485881, -83.0243182 42.3489766)",parking_aisle,
736928977,7030883904,0,59427644,False,2,,service,5 mph,5.713,"LINESTRING (-83.0244993 42.3484126, -83.0244738 42.3483648)",parking_aisle,
736928977,5040678686,0,59427644,False,2,,service,5 mph,10.053,"LINESTRING (-83.0244993 42.3484126, -83.0245192 42.3485018)",parking_aisle,
736928978,4273560892,0,516337326,True,1,,service,5 mph,8.328,"LINESTRING (-83.0243124 42.34805, -83.02435850000001 42.3481167)",,
760180150,760180151,0,491331280,True,2,,trunk_link,15 mph,76.987,"LINESTRING (-83.0794653 42.3209759, -83.07983849999999 42.3216109)",,
760180151,760180152,0,105748080,True,1,,trunk_link,15 mph,108.653,"LINESTRING (-83.07983849999999 42.3216109, -83.0803701 42.3225055)",,
760180152,1217711325,0,105748080,True,1,,trunk_link,15 mph,26.5,"LINESTRING (-83.0803701 42.3225055, -83.0804691 42.3227323)",,
760180153,1217710889,0,105748080,True,1,,trunk_link,15 mph,19.609,"LINESTRING (-83.0804031 42.3230835, -83.08026390000001 42.3232267)",,
760180154,1217710710,0,105748080,True,1,,trunk_link,15 mph,16.929,"LINESTRING (-83.0798423 42.3233241, -83.0796409 42.3232924)",,
760180155,1217711501,0,105748080,True,1,,trunk_link,15 mph,27.487,"LINESTRING (-83.0792814 42.3230512, -83.07915 42.3228239)",,
827240827,63035831,0,71691789,False,,John C Lodge Drive,residential,20 mph,174.693,"LINESTRING (-83.0752193 42.3557955, -83.07606749999999 42.3572361)",,
827240827,6442017316,0,71691789,False,,John C Lodge Drive,residential,20 mph,23.322,"LINESTRING (-83.0752193 42.3557955, -83.0751063 42.3556031)",,
829343945,829343948,0,69140734,True,,,service,10 mph,34.163,"LINESTRING (-83.0564755 42.3575199, -83.05665620000001 42.3577966)",,
829343945,7458988974,0,665211357,True,,,service,10 mph,6.035,"LINESTRING (-83.0564755 42.3575199, -83.05640990000001 42.3575443)",,
829343948,7458988979,0,69140764,True,,,service,10 mph,6.482,"LINESTRING (-83.05665620000001 42.3577966, -83.0567272 42.3577712)",,
829344045,4045827444,0,69140764,True,,,service,10 mph,8.663,"LINESTRING (-83.0560701 42.3580068, -83.0561647 42.3579724)",,
829344123,5884703403,0,625585374,False,,,service,10 mph,53.573,"LINESTRING (-83.0575345 42.3570631, -83.0569539 42.3572823)",,
829344123,5906585998,0,625585375,True,,,service,10 mph,1.648,"LINESTRING (-83.0575345 42.3570631, -83.0575418 42.3570769)",,
829344124,5906583979,0,625585374,False,,,service,10 mph,4.426,"LINESTRING (-83.0569307 42.3573505, -83.05692999999999 42.3573107)",,
829344124,7458988976,0,665211357,True,,,service,10 mph,34.064,"LINESTRING (-83.0569307 42.3573505, -83.05655950000001 42.3574869)",,
829344135,829344124,0,69140764,True,,,service,10 mph,34.792,"LINESTRING (-83.0571133 42.3576328, -83.0569307 42.3573505)",,
830140372,4677155623,0,69256656,False,,,service,5 mph,8.87,"LINESTRING (-83.0627574 42.3561924, -83.0627049 42.3561227)",parking_aisle,
1217710710,1217711631,0,105748080,True,1,,trunk_link,15 mph,19.419,"LINESTRING (-83.0796409 42.3232924, -83.0794357 42.3232059)",,
1217710889,1217711148,0,105748080,True,1,,trunk_link,15 mph,19.326,"LINESTRING (-83.08026390000001 42.3232267, -83.080055 42.3233064)",,
1217711148,760180154,0,105748080,True,1,,trunk_link,15 mph,17.597,"LINESTRING (-83.080055 42.3233064, -83.0798423 42.3233241)",,
1217711325,1217711617,0,105748080,True,1,,trunk_link,15 mph,17.756,"LINESTRING (-83.0804691 42.3227323, -83.08048410000001 42.3228916)",,
1217711361,1217711364,0,491331280,True,2,,trunk_link,15 mph,23.032,"LINESTRING (-83.07936599999999 42.3205422, -83.0793706 42.3207493)",,
1217711364,760180150,0,491331280,True,2,,trunk_link,15 mph,26.372,"LINESTRING (-83.0793706 42.3207493, -83.0794653 42.3209759)",,
1217711501,760180157,0,105748080,True,1,,trunk_link,15 mph,48.103,"LINESTRING (-83.07915 42.3228239, -83.07897629999999 42.3224108)",,
1217711617,760180153,0,105748080,True,1,,trunk_link,15 mph,22.353,"LINESTRING (-83.08048410000001 42.3228916, -83.0804031 42.3230835)",,
1217711631,760180155,0,105748080,True,1,,trunk_link,15 mph,21.373,"LINESTRING (-83.0794357 42.3232059, -83.0792814 42.3230512)",,
