u,v,key,osmid,highway,oneway,length,geometry,name,bridge,width,area,lanes,tunnel,service
253770261,253770262,0,157471593,cycleway,False,20.832,"LINESTRING (37.4179449 55.7534649, 37.4181121 55.7533029)",Велотрасса на Крылатских холмах,,,,,,
253770262,253770261,0,157471593,cycleway,False,20.832,"LINESTRING (37.4181121 55.7533029, 37.4179449 55.7534649)",Велотрасса на Крылатских холмах,,,,,,
253770262,2831230109,0,157471593,cycleway,False,72.438,"LINESTRING (37.4181121 55.7533029, 37.4185766 55.7527062)",Велотрасса на Крылатских холмах,,,,,,
253770263,2831230109,0,157471593,cycleway,False,41.722,"LINESTRING (37.4188797 55.752372, 37.4185766 55.7527062)",Велотрасса на Крылатских холмах,,,,,,
253770263,2831230012,0,157471593,cycleway,False,7.919,"LINESTRING (37.4188797 55.752372, 37.4189503 55.7523129)",Велотрасса на Крылатских холмах,,,,,,
253770264,2831230010,0,157471593,cycleway,False,5.877,"LINESTRING (37.4191052 55.7522567, 37.4190209 55.75228)",Велотрасса на Крылатских холмах,,,,,,
253770264,2831230011,0,157471593,cycleway,False,6.896,"LINESTRING (37.4191052 55.7522567, 37.4192154 55.7522567)",Велотрасса на Крылатских холмах,,,,,,
253770265,2831230011,0,157471593,cycleway,False,9.951,"LINESTRING (37.4193669 55.7522839, 37.4192154 55.7522567)",Велотрасса на Крылатских холмах,,,,,,
253770265,253770266,0,157471593,cycleway,False,10.712,"LINESTRING (37.4193669 55.7522839, 37.4195149 55.7523323)",Велотрасса на Крылатских холмах,,,,,,
253770266,253770265,0,157471593,cycleway,False,10.712,"LINESTRING (37.4195149 55.7523323, 37.4193669 55.7522839)",Велотрасса на Крылатских холмах,,,,,,
253770266,2831230013,0,157471593,cycleway,False,48.879,"LINESTRING (37.4195149 55.7523323, 37.420107 55.752619)",Велотрасса на Крылатских холмах,,,,,,
253770267,2831230014,0,157471593,cycleway,False,15.538,"LINESTRING (37.4208776 55.7529197, 37.4206629 55.7528495)",Велотрасса на Крылатских холмах,,,,,,
253770267,253770268,0,157471593,cycleway,False,13.098,"LINESTRING (37.4208776 55.7529197, 37.4210548 55.7529824)",Велотрасса на Крылатских холмах,,,,,,
253770268,253770267,0,157471593,cycleway,False,13.098,"LINESTRING (37.4210548 55.7529824, 37.4208776 55.7529197)",Велотрасса на Крылатских холмах,,,,,,
253770268,253770269,0,157471593,cycleway,False,20.893,"LINESTRING (37.4210548 55.7529824, 37.4213783 55.7530289)",Велотрасса на Крылатских холмах,,,,,,
253770269,253770268,0,157471593,cycleway,False,20.893,"LINESTRING (37.4213783 55.7530289, 37.4210548 55.7529824)",Велотрасса на Крылатских холмах,,,,,,
253770269,2831230096,0,157471593,cycleway,False,12.282,"LINESTRING (37.4213783 55.7530289, 37.4215741 55.7530365)",Велотрасса на Крылатских холмах,,,,,,
253770270,2831230096,0,157471593,cycleway,False,12.206,"LINESTRING (37.4217657 55.7530159, 37.4215741 55.7530365)",Велотрасса на Крылатских холмах,,,,,,
253770270,2831230095,0,157471593,cycleway,False,18.723,"LINESTRING (37.4217657 55.7530159, 37.4220529 55.7529687)",Велотрасса на Крылатских холмах,,,,,,
253770271,2831230095,0,157471593,cycleway,False,16.308,"LINESTRING (37.4222839 55.7529008, 37.4220529 55.7529687)",Велотрасса на Крылатских холмах,,,,,,
253770271,2831230098,0,157471593,cycleway,False,22.14,"LINESTRING (37.4222839 55.7529008, 37.4225752 55.7527878)",Велотрасса на Крылатских холмах,,,,,,
253770272,7811374237,0,157471593,cycleway,False,7.533,"LINESTRING (37.423881 55.7521358, 37.4237943 55.7521828)",Велотрасса на Крылатских холмах,,,,,,
253770272,253770273,0,157471593,cycleway,False,11.884,"LINESTRING (37.423881 55.7521358, 37.4240049 55.7520548)",Велотрасса на Крылатских холмах,,,,,,
253770273,253770272,0,157471593,cycleway,False,11.884,"LINESTRING (37.4240049 55.7520548, 37.423881 55.7521358)",Велотрасса на Крылатских холмах,,,,,,
253770273,253770274,0,157471593,cycleway,False,9.154,"LINESTRING (37.4240049 55.7520548, 37.4240552 55.7519775)",Велотрасса на Крылатских холмах,,,,,,
253770274,253770273,0,157471593,cycleway,False,9.154,"LINESTRING (37.4240552 55.7519775, 37.4240049 55.7520548)",Велотрасса на Крылатских холмах,,,,,,
