u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,est_width,ref,junction,access,bridge,service,tunnel,area
1374800915,4174384541,0,123214360,False,Carrer de Can Falgàs,residential,30,13.594999999999999,"LINESTRING (2.1051518 41.3895029, 2.1052042 41.3895616, 2.1052619 41.3895897)",,,,,,,,,,
1374800915,1374801052,0,416720424,False,Carrer del Torrent de les Roses,residential,30,18.254,"LINESTRING (2.1051518 41.3895029, 2.1052881 41.3894315, 2.105325 41.3894034)",,,,,,destination,,,,
1374800922,4174384541,0,123214360,False,Carrer de Can Falgàs,residential,30,55.217,"LINESTRING (2.1056308 41.3900003, 2.1055285 41.3898642, 2.1054821 41.3898022, 2.1054176 41.3897355, 2.1052619 41.3895897)",,,,,,,,,,
1374800932,1374801044,0,123214370,False,Carrer d'en Puig d'Óssa,residential,30,30.18,"LINESTRING (2.1045501 41.3885482, 2.104346 41.3883241)",,,,,,,,,,
1374800932,1374800938,0,123214370,False,Carrer d'en Puig d'Óssa,residential,30,55.184,"LINESTRING (2.1045501 41.3885482, 2.1049234 41.3889579)",,,,,,,,,,
1374800932,4174370011,0,123214376,False,Carrer d'en Puig d'Óssa,residential,30,47.556000000000004,"LINESTRING (2.1045501 41.3885482, 2.104472 41.3886099, 2.1044078 41.3887435, 2.1043729 41.3888984, 2.1043795 41.3889416)",,,,,,,,,,
1374800938,1374800932,0,123214370,False,Carrer d'en Puig d'Óssa,residential,30,55.184,"LINESTRING (2.1049234 41.3889579, 2.1045501 41.3885482)",,,,,,,,,,
1374800938,1374801052,0,123214370,False,Carrer d'en Puig d'Óssa,residential,30,59.803,"LINESTRING (2.1049234 41.3889579, 2.105325 41.3894034)",,,,,,,,,,
1374800938,1374801046,0,416714468,True,Carrer dels Herois del Bruc,residential,30,18.696,"LINESTRING (2.1049234 41.3889579, 2.1051325 41.3888974)",,,,,,,,,,
1374800951,4174394695,0,416713768,True,Carrer dels Herois del Bruc,living_street,20,5.43,"LINESTRING (2.1044604 41.3890728, 2.1045223 41.3890577)",,,,,,,,,,
1374800951,4174370011,0,123214376,False,Carrer d'en Puig d'Óssa,residential,30,16.659,"LINESTRING (2.1044604 41.3890728, 2.104389 41.3890031, 2.1043795 41.3889416)",,,,,,,,,,
1374800961,1374800890,0,123214353,False,Carrer de Can Falgàs,residential,30,78.217,"LINESTRING (2.105795 41.3910972, 2.1058427 41.3909923, 2.1058482 41.3908825, 2.1058024 41.3906562, 2.1057568 41.3904047)",,,,,,,,,,
1374800961,359239830,0,238074992,True,Carrer de Joan d'Alòs,residential,30,72.83800000000001,"LINESTRING (2.105795 41.3910972, 2.1063696 41.3914867, 2.1064428 41.3915364)",,,,,,yes,,,,
1374800965,1374800910,0,416713364,False,Costa de Sant Bartomeu de la Quadra,residential,30,37.381,"LINESTRING (2.1036729 41.389616, 2.1038482 41.3896361, 2.1041181 41.38962)",,,,,,,,,,
1374800965,1374801002,0,416719194,True,Carrer del Torrent de les Roses,residential,30,239.789,"LINESTRING (2.1036729 41.389616, 2.1036761 41.3895734, 2.1036733 41.3895438, 2.10367 41.3895092, 2.1036297 41.3892939, 2.1036094 41.3892169, 2.1035412 41.388958, 2.10345 41.3885857, 2.1034583 41.3885012, 2.1034935 41.3884668, 2.1035654 41.3884408, 2.1036753 41.3884629, 2.1037858 41.3885593, 2.1040024 41.388803, 2.1042236 41.3890433, 2.1043188 41.3891467)",,,,,,destination,,,,
1374801002,5983130783,0,633896450,False,Plaça del Coll de Finestrelles,residential,30,22.359,"LINESTRING (2.1043188 41.3891467, 2.1040508 41.3891441)",,,,,,,,,,
1374801002,1374800910,0,416717047,False,Costa de Sant Bartomeu de la Quadra,residential,30,56.977999999999994,"LINESTRING (2.1043188 41.3891467, 2.1042816 41.3891613, 2.1042572 41.3891748, 2.1042398 41.3892005, 2.1042308 41.3892256, 2.1041181 41.38962)",,,,,,,,,,
1374801002,4174394697,0,416719194,True,Carrer del Torrent de les Roses,residential,30,75.281,"LINESTRING (2.1043188 41.3891467, 2.1043357 41.3891656, 2.1045547 41.3894109, 2.1045914 41.3894438, 2.1046297 41.3894721, 2.1046767 41.3894965, 2.1047363 41.3895199, 2.1048066 41.3895356, 2.1048777 41.3895445, 2.1049343 41.389547, 2.1049753 41.3895455)",,,,,,destination,,,,
1374801041,1374800793,0,123214379,False,Carrer de la Festa Major,residential,30,46.932,"LINESTRING (2.1049978 41.3884972, 2.1053198 41.3888433)",,,,,,,,,,
1374801044,1374800932,0,123214370,False,Carrer d'en Puig d'Óssa,residential,30,30.18,"LINESTRING (2.104346 41.3883241, 2.1045501 41.3885482)",,,,,,,,,,
1374801046,1374800819,0,123214377,False,Carrer d'Aiguallonga,residential,30,66.296,"LINESTRING (2.1051325 41.3888974, 2.1046813 41.3884066)",,,,,,,,,,
1374801046,1374800793,0,416714468,True,Carrer dels Herois del Bruc,residential,30,16.743,"LINESTRING (2.1051325 41.3888974, 2.1053198 41.3888433)",,,,,,,,,,
1374801052,1374800938,0,123214370,False,Carrer d'en Puig d'Óssa,residential,30,59.803,"LINESTRING (2.105325 41.3894034, 2.1049234 41.3889579)",,,,,,,,,,
