u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,access,lanes,ref,width,est_width,bridge,tunnel,junction,area,service
26057389,3314271774,0,532696011,Gran Via de les Corts Catalanes,primary,50,True,134.541,"LINESTRING (2.1619691 41.3846778, 2.1621383 41.3848092, 2.1629769 41.3854488, 2.1631006 41.3855399)",,5,C-31,12,,,,,,
26198823,30247093,0,237506930,Carrer de Villarroel,tertiary,30,True,18.125999999999998,"LINESTRING (2.1597282 41.3829819, 2.1598004 41.3829268, 2.1598242 41.3829085, 2.159858 41.382882, 2.1598796 41.382865)",,2,,,,,,,,
26198823,26057388,0,328020777,Gran Via de les Corts Catalanes,primary,50,True,132.974,"LINESTRING (2.1597282 41.3829819, 2.1598229 41.3830526, 2.1598768 41.3830929, 2.1607051 41.3837114, 2.1608564 41.3838266)",,5,C-31,12,,,,,,
26198828,30246752,0,316582579,Carrer del Comte Borrell,living_street,10,True,18.554000000000002,"LINESTRING (2.1574616 41.3812781, 2.157539 41.3812206, 2.1575621 41.3812033, 2.1575994 41.3811756, 2.1576195 41.3811606)",,,,,,,,,,
26198828,30685338,0,316582580,Gran Via de les Corts Catalanes,primary,50,True,133.714,"LINESTRING (2.1574616 41.3812781, 2.157612 41.3813911, 2.1583982 41.3819822, 2.1584226 41.3820005, 2.1585319 41.382082, 2.1585938 41.3821292)",,5,C-31,12,,,,,,
26198831,26198828,0,316582576,Gran Via de les Corts Catalanes,primary,50,True,133.49,"LINESTRING (2.1563247 41.3804334, 2.1564355 41.3805157, 2.1573238 41.3811757, 2.1574616 41.3812781)",,5,C-31,12,,,,,,
26198831,30246772,0,449991637,Carrer de Viladomat,residential,30,True,19.651,"LINESTRING (2.1563247 41.3804334, 2.1564085 41.3803676, 2.1564306 41.3803503, 2.1564681 41.3803202, 2.1564868 41.3803052)",,2,,,,,,,,
26198833,26198831,0,"[545715324, 316582574]",Gran Via de les Corts Catalanes,primary,50,True,134.583,"LINESTRING (2.1551756 41.3795841, 2.1553458 41.3797119, 2.1558928 41.3801225, 2.1559073 41.3801324, 2.1561712 41.3803229, 2.1563247 41.3804334)",,5,C-31,12,,,,,,
26198833,30246781,0,449991621,Carrer de Calàbria,residential,30,True,148.272,"LINESTRING (2.1551756 41.3795841, 2.1550946 41.3796483, 2.155067 41.3796691, 2.155021 41.3797041, 2.1549321 41.3797713, 2.1541437 41.3803669, 2.1539255 41.3805318)",,2,,,,,,,,
26198844,2510589068,0,"[244057616, 545715325]",Gran Via de les Corts Catalanes,primary,50,True,134.723,"LINESTRING (2.1529147 41.3778725, 2.1530551 41.3779794, 2.1537072 41.378476, 2.1537135 41.3784808, 2.1539287 41.3786385, 2.1540544 41.3787307)",,5,C-31,18,,,,,,
26198844,30243042,0,"[532436408, 532436406]",Carrer d'Entença,secondary,50,True,148.756,"LINESTRING (2.1529147 41.3778725, 2.1528113 41.3779467, 2.1527879 41.3779634, 2.1527453 41.377994, 2.1526612 41.3780574, 2.1521716 41.3784264, 2.1518614 41.3786601, 2.1516527 41.3788174)",,"['4', '3']",,"['12', '8']",,,,,,
30227025,30227027,0,4743362,Carrer de la Guàrdia,residential,30,True,123.614,"LINESTRING (2.1733456 41.3782059, 2.1733778 41.3781867, 2.1744727 41.3775336, 2.1745053 41.3775141)",,,,,,,,,,
30227025,30227084,0,295215798,Carrer Nou de la Rambla,tertiary,,True,171.60299999999998,"LINESTRING (2.1733456 41.3782059, 2.1733759 41.3782343, 2.1738151 41.3786459, 2.1738517 41.3786827, 2.1740715 41.3789034, 2.1741388 41.3789709, 2.1745674 41.3793851, 2.1746078 41.3794242)",,,,,,,,,,
30227032,30227025,0,295215797,Carrer Nou de la Rambla,tertiary,,True,62.216,"LINESTRING (2.1728957 41.3777597, 2.1729499 41.3778128, 2.1733456 41.3782059)",,,,,,,,,,
30227034,30227032,0,4743363,Carrer de l'Est,residential,30,True,120.398,"LINESTRING (2.1739954 41.3770587, 2.1733853 41.3774476, 2.1729182 41.3777464, 2.1728957 41.3777597)",,,,,,,,,,
30227035,30227037,0,4743364,Carrer de la Junta del Comerç,residential,30,True,194.619,"LINESTRING (2.1708255 41.3805733, 2.1708451 41.3805502, 2.1714709 41.3798139, 2.1721135 41.3791144)",,,,,,,,,,
30227035,30227468,0,"[295215802, 295215803, 241868444]",Carrer de l'Hospital,tertiary,30,True,101.07000000000001,"LINESTRING (2.1708255 41.3805733, 2.1707755 41.3805577, 2.1704212 41.3804469, 2.1701952 41.3803787, 2.1701498 41.380365, 2.1701137 41.3803544, 2.1697637 41.3802516, 2.169702 41.3802335)",,,,,,,,,,
30227050,30227070,0,"[4743368, 10427092]","['Carrer de la Unió', 'Carrer del Marquès de Barberà']",residential,30,True,315.402,"LINESTRING (2.1717029 41.3778764, 2.1717207 41.3778936, 2.1728448 41.3789765, 2.1732829 41.379414, 2.1735882 41.3797013, 2.1739785 41.3800635, 2.1740277 41.3801128)",,,,,,,,,,
30227050,30227052,0,18618300,Carrer de Sant Ramon,residential,30,True,85.16300000000001,"LINESTRING (2.1717029 41.3778764, 2.1717548 41.3778465, 2.1720621 41.3776693, 2.172465 41.3774368, 2.1725123 41.3774098)",,,,,,,,,,
30227052,30227032,0,295215797,Carrer Nou de la Rambla,tertiary,,True,50.370999999999995,"LINESTRING (2.1725123 41.3774098, 2.1725506 41.3774462, 2.1728957 41.3777597)",,,,,,,,,,
30227068,30227050,0,4743368,Carrer del Marquès de Barberà,residential,30,True,68.514,"LINESTRING (2.1711983 41.3773903, 2.1712579 41.3774477, 2.1716716 41.3778463, 2.1716805 41.3778548, 2.1717029 41.3778764)",,,,,,,,,,
30227068,30248345,0,10851867,Carrer de Sant Oleguer,tertiary,30,False,86.28,"LINESTRING (2.1711983 41.3773903, 2.1716091 41.3771863, 2.1719556 41.3770155, 2.1720452 41.3769481)",,,,,,,,,,
30227068,5306386384,0,10851867,Carrer de Sant Oleguer,tertiary,30,False,70.827,"LINESTRING (2.1711983 41.3773903, 2.1711494 41.3774141, 2.170565 41.3776978, 2.1704856 41.3777363)",,,,,,,,,,
30227070,30227084,0,11680101,La Rambla,residential,30,True,90.584,"LINESTRING (2.1740277 41.3801128, 2.1740561 41.3800785, 2.1745595 41.3794815, 2.1746078 41.3794242)",,,,,,,,,,
30227084,104459413,0,11680101,La Rambla,residential,30,True,289.754,"LINESTRING (2.1746078 41.3794242, 2.1746462 41.3793822, 2.1750552 41.3789354, 2.1752626 41.3787835, 2.1753494 41.3787039, 2.175444 41.3785447, 2.1754466 41.37854, 2.175871 41.3777822, 2.1759085 41.3777217, 2.1759356 41.3776744, 2.1761503 41.3773, 2.1762588 41.3771561)",,,,,,,,,,
30227134,30227135,0,11299615,Carrer Nou de Dulce,residential,,False,39.147999999999996,"LINESTRING (2.1638406 41.3816158, 2.1638798 41.3813452, 2.1638885 41.3812656)",,,,,,,,,,
30227135,30227159,0,4743393,Carrer de Sant Erasme,residential,,False,88.01499999999999,"LINESTRING (2.1638885 41.3812656, 2.1639298 41.3812692, 2.1648564 41.3813505, 2.1649365 41.381356)",,,,,,,,,,
30227135,30227136,0,11299615,Carrer Nou de Dulce,residential,,False,52.402,"LINESTRING (2.1638885 41.3812656, 2.1638937 41.381231, 2.1639548 41.3808275, 2.1639587 41.3807973)",,,,,,,,,,
30227135,30227134,0,11299615,Carrer Nou de Dulce,residential,,False,39.147999999999996,"LINESTRING (2.1638885 41.3812656, 2.1638798 41.3813452, 2.1638406 41.3816158)",,,,,,,,,,
30227136,30227139,0,4743386,Carrer de Sant Gil,residential,,False,109.51,"LINESTRING (2.1639587 41.3807973, 2.164006 41.3808007, 2.1651974 41.3808766, 2.1652665 41.380881)",,,,,,,,,,
30227136,192321977,0,4743386,Carrer de Sant Gil,residential,,False,48.091,"LINESTRING (2.1639587 41.3807973, 2.1639096 41.3807935, 2.1633853 41.3807532)",,,,,,,,,,
30227136,30227137,0,11299615,Carrer Nou de Dulce,residential,,False,46.787,"LINESTRING (2.1639587 41.3807973, 2.1639627 41.3807727, 2.1640225 41.3804118, 2.1640259 41.3803796)",,,,,,,,,,
30227136,30227135,0,11299615,Carrer Nou de Dulce,residential,,False,52.402,"LINESTRING (2.1639587 41.3807973, 2.1639548 41.3808275, 2.1638937 41.381231, 2.1638885 41.3812656)",,,,,,,,,,
30227137,30227136,0,11299615,Carrer Nou de Dulce,residential,,False,46.787,"LINESTRING (2.1640259 41.3803796, 2.1640225 41.3804118, 2.1639627 41.3807727, 2.1639587 41.3807973)",,,,,,,,,,
30227137,30227231,0,241618932,Carrer de la Riera Alta,residential,30,True,46.031,"LINESTRING (2.1640259 41.3803796, 2.164079 41.3803821, 2.1645765 41.3804058)",yes,,,,,,,,,
30227139,30227136,0,4743386,Carrer de Sant Gil,residential,,False,109.51,"LINESTRING (2.1652665 41.380881, 2.1651974 41.3808766, 2.164006 41.3808007, 2.1639587 41.3807973)",,,,,,,,,,
30227159,30227135,0,4743393,Carrer de Sant Erasme,residential,,False,88.01499999999999,"LINESTRING (2.1649365 41.381356, 2.1648564 41.3813505, 2.1639298 41.3812692, 2.1638885 41.3812656)",,,,,,,,,,
30227192,30227193,0,230770489,Carrer de Joaquín Costa,living_street,20,True,58.944,"LINESTRING (2.1644878 41.3837354, 2.1649366 41.383326)",,,,,4,,,,,
