u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,bridge,access,est_width,tunnel,ref,junction
4401241777,1728266957,0,442439747,False,East River Esplanade,cycleway,,6.975,"LINESTRING (-73.9744098 40.7366068, -73.9744307 40.7366675)",,,,,,,,
4412035601,607932382,0,712343086,False,FDR Drive Greenway,cycleway,,10.563,"LINESTRING (-73.9720402 40.7431133, -73.9719182 40.7431352)",,,,,,,,
4412035601,4412043545,0,712343086,False,FDR Drive Greenway,cycleway,,5.48,"LINESTRING (-73.9720402 40.7431133, -73.9720761 40.7430722)",,,,,,,,
4412035603,1478572240,0,711924576,False,,cycleway,,5.899,"LINESTRING (-73.9724014 40.7419973, -73.9724365 40.7419514)",,,,,,,,
4412035603,607932380,0,712343086,False,FDR Drive Greenway,cycleway,,40.825,"LINESTRING (-73.9724014 40.7419973, -73.97233420000001 40.7423609)",,,,,,,,
4412043542,607932381,0,712343086,False,FDR Drive Greenway,cycleway,,41.433,"LINESTRING (-73.9723126 40.7424768, -73.9721823 40.7428361)",,,,,,,,
4412043542,607932380,0,712343086,False,FDR Drive Greenway,cycleway,,13.015,"LINESTRING (-73.9723126 40.7424768, -73.97233420000001 40.7423609)",,,,,,,,
4412043545,4412035601,0,712343086,False,FDR Drive Greenway,cycleway,,5.48,"LINESTRING (-73.9720761 40.7430722, -73.9720402 40.7431133)",,,,,,,,
4412043545,607932381,0,712343086,False,FDR Drive Greenway,cycleway,,27.736,"LINESTRING (-73.9720761 40.7430722, -73.9721823 40.7428361)",,,,,,,,
4486238502,4762069449,0,378363224,True,2nd Avenue,cycleway,,72.429,"LINESTRING (-73.98390139999999 40.7336328, -73.98431720000001 40.7330627)",,,,,,,,
4489003009,3212472993,0,452098018,False,,cycleway,,17.702,"LINESTRING (-73.9920554 40.7107851, -73.99203079999999 40.710627)",,,,,,,,
4489003009,7480515819,0,569451556,True,,cycleway,,12.878,"LINESTRING (-73.9920554 40.7107851, -73.99207920000001 40.7108995)",,,,,,,,
4489003010,4489003011,0,452098018,False,,cycleway,,26.525,"LINESTRING (-73.99186779999999 40.7098187, -73.99182020000001 40.7095829)",,,,,,,,
4489003010,3212473003,0,452098018,False,,cycleway,,11.016,"LINESTRING (-73.99186779999999 40.7098187, -73.9918754 40.7099176)",,,,,,,,
4489003011,4489003010,0,452098018,False,,cycleway,,26.525,"LINESTRING (-73.99182020000001 40.7095829, -73.99186779999999 40.7098187)",,,,,,,,
4489003011,436764952,0,684320312,False,East River Esplanade,cycleway,,64.843,"LINESTRING (-73.99182020000001 40.7095829, -73.9925752 40.709471)",,,,,,,,
4489003011,436764951,0,684320312,False,East River Esplanade,cycleway,,38.82,"LINESTRING (-73.99182020000001 40.7095829, -73.9913682 40.7096499)",,,,,,,,
4489003012,42443928,0,5671177,False,Rutgers Slip,cycleway,,27.992,"LINESTRING (-73.9897332 40.7098827, -73.98978459999999 40.7101314)",,,,,,,,
4489003012,436764949,0,684320312,False,East River Esplanade,cycleway,,43.201,"LINESTRING (-73.9897332 40.7098827, -73.99023630000001 40.7098085)",,,,,,,,
4489003012,436764948,0,684320312,False,East River Esplanade,cycleway,,24.197,"LINESTRING (-73.9897332 40.7098827, -73.98945139999999 40.7099242)",,,,,,,,
4492779803,3783073213,0,452487049,True,East Houston Street,cycleway,,3.673,"LINESTRING (-73.9747263 40.7189455, -73.97476949999999 40.7189499)",,,,,,,,
4492779804,607922912,0,452487047,True,,cycleway,,16.25,"LINESTRING (-73.9752826 40.7188137, -73.97512089999999 40.7187341)",,,,,,,,
4515465264,401828093,0,60321194,False,Harlem River Drive Greenway,cycleway,,19.699,"LINESTRING (-73.94015760000001 40.8303809, -73.9399544 40.8304689)",,,,,,,,
4515465266,4379966535,0,278059226,False,Fort Washington Park Greenway,cycleway,,13.624,"LINESTRING (-73.9312243 40.868849, -73.9312791 40.8687337)",,,,,,,,
4515465266,5608275788,0,455098899,True,Dyckman Street,unclassified,,32.672,"LINESTRING (-73.9312243 40.868849, -73.9314826 40.8690685)",,,,,,,,
4528918659,4528918660,0,456635296,False,Chrystie Street,cycleway,,13.425,"LINESTRING (-73.9948201 40.7159341, -73.99479169999999 40.7160529)",2,12',,,,,,
4528918659,6336172699,0,456635296,False,Chrystie Street,cycleway,,3.734,"LINESTRING (-73.9948201 40.7159341, -73.994829 40.7159012)",2,12',,,,,,
4528918660,7641464798,0,456635296,False,Chrystie Street,cycleway,,11.353,"LINESTRING (-73.99479169999999 40.7160529, -73.9947598 40.7161521)",2,12',,,,,,
4528918660,4528918659,0,456635296,False,Chrystie Street,cycleway,,13.425,"LINESTRING (-73.99479169999999 40.7160529, -73.9948201 40.7159341)",2,12',,,,,,
4528918661,4528918662,0,456635296,False,Chrystie Street,cycleway,,12.981,"LINESTRING (-73.9946905 40.7163288, -73.9946195 40.7164324)",2,12',,,,,,
4528918661,7641464798,0,456635296,False,Chrystie Street,cycleway,,20.498,"LINESTRING (-73.9946905 40.7163288, -73.9947598 40.7161521)",2,12',,,,,,
4528918662,6336172698,0,456635296,False,Chrystie Street,cycleway,,37.518,"LINESTRING (-73.9946195 40.7164324, -73.9944526 40.7167452)",2,12',,,,,,
4528918662,4528918661,0,456635296,False,Chrystie Street,cycleway,,12.981,"LINESTRING (-73.9946195 40.7164324, -73.9946905 40.7163288)",2,12',,,,,,
4528918663,6369613317,0,456635296,False,Chrystie Street,cycleway,,8.991,"LINESTRING (-73.9943724 40.7169512, -73.9943349 40.7170269)",2,12',,,,,,
4528918663,6369613022,0,456635296,False,Chrystie Street,cycleway,,7.139,"LINESTRING (-73.9943724 40.7169512, -73.9944067 40.7168925)",2,12',,,,,,
4539951606,6369613030,0,456635296,False,Chrystie Street,cycleway,,11.974,"LINESTRING (-73.9937357 40.718134, -73.9937934 40.7180356)",2,12',,,,,,
4539951606,6369613049,0,457937095,False,Chrystie Street,cycleway,,9.648,"LINESTRING (-73.9937357 40.718134, -73.99368610000001 40.7182122)",2,12',,,,,,
4539951607,5159452343,0,457937095,False,Chrystie Street,cycleway,,87.136,"LINESTRING (-73.9932637 40.7190409, -73.9928898 40.7197715)",2,12',,,,,,
4539951607,6336172704,0,457937095,False,Chrystie Street,cycleway,,95.415,"LINESTRING (-73.9932637 40.7190409, -73.9936687 40.7182396)",2,12',,,,,,
4539951608,4539951609,0,457937095,False,Chrystie Street,cycleway,,16.6,"LINESTRING (-73.9928316 40.7198827, -73.9927581 40.7200212)",2,12',,,,,,
4539951608,5159452343,0,457937095,False,Chrystie Street,cycleway,,13.302,"LINESTRING (-73.9928316 40.7198827, -73.9928898 40.7197715)",2,12',,,,,,
4539951609,5159452350,0,457937086,False,Chrystie Street,cycleway,,13.534,"LINESTRING (-73.9927581 40.7200212, -73.992704 40.7201358)",2,12',,,,,,
4539951609,4539951608,0,457937095,False,Chrystie Street,cycleway,,16.6,"LINESTRING (-73.9927581 40.7200212, -73.9928316 40.7198827)",2,12',,,,,,
4539951610,6336172705,0,457937086,False,Chrystie Street,cycleway,,9.946,"LINESTRING (-73.99215169999999 40.7212219, -73.99211149999999 40.721306)",2,12',,,,,,
4539951610,5159452350,0,457937086,False,Chrystie Street,cycleway,,129.428,"LINESTRING (-73.99215169999999 40.7212219, -73.992704 40.7201358)",2,12',,,,,,
4539951611,5991033038,0,457937086,False,Chrystie Street,cycleway,,126.304,"LINESTRING (-73.9915506 40.7223774, -73.9910096 40.7234367)",2,12',,,,,,
4539951611,6336172706,0,457937086,False,Chrystie Street,cycleway,,115.146,"LINESTRING (-73.9915506 40.7223774, -73.9920442 40.7214118)",2,12',,,,,,
4539951611,6330061765,0,40709920,False,Stanton Street,pedestrian,,4.501,"LINESTRING (-73.9915506 40.7223774, -73.9915012 40.722362)",,,,,,,,
4539951611,42432083,0,40709920,False,Stanton Street,pedestrian,,9.764,"LINESTRING (-73.9915506 40.7223774, -73.99165910000001 40.7224082)",,,,,,,,
4539951613,5783022064,0,763240257,False,Chrystie Street,cycleway,,9.896,"LINESTRING (-73.9909775 40.723573, -73.99099750000001 40.7234853)",,,,,,,,
