u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,width,ref,tunnel,service,area
5701726015,6842730585,0,728029441,False,Quai d'Austerlitz,cycleway,,171.447,"LINESTRING (2.3695507 48.8406513, 2.3711161 48.8395042)",,,,,,,,,
5701726015,5701726014,0,728029441,False,Quai d'Austerlitz,cycleway,,161.695,"LINESTRING (2.3695507 48.8406513, 2.3680653 48.8417278)",,,,,,,,,
5701726016,5701726017,0,728029441,False,Quai d'Austerlitz,cycleway,,119.262,"LINESTRING (2.371215 48.8394318, 2.3723038 48.8386338)",,,,,,,,,
5701726016,6842730585,0,728029441,False,Quai d'Austerlitz,cycleway,,10.826,"LINESTRING (2.371215 48.8394318, 2.3711161 48.8395042)",,,,,,,,,
5701726017,6083493506,0,728029441,False,Quai d'Austerlitz,cycleway,,34.51,"LINESTRING (2.3723038 48.8386338, 2.3726224 48.838405)",,,,,,,,,
5701726017,5701726016,0,728029441,False,Quai d'Austerlitz,cycleway,,119.262,"LINESTRING (2.3723038 48.8386338, 2.371215 48.8394318)",,,,,,,,,
5701726018,6014987243,0,728029441,False,Quai d'Austerlitz,cycleway,,48.586,"LINESTRING (2.3727483 48.8382956, 2.3731263 48.8379364)",,,,,,,,,
5701726018,6083493506,0,728029441,False,Quai d'Austerlitz,cycleway,,15.261,"LINESTRING (2.3727483 48.8382956, 2.3726224 48.838405)",,,,,,,,,
5701726019,5701726020,0,728029441,False,Quai d'Austerlitz,cycleway,,35.316,"LINESTRING (2.3731937 48.837881, 2.3734693 48.8376203)",,,,,,,,,
5701726019,6014987243,0,728029441,False,Quai d'Austerlitz,cycleway,,7.892,"LINESTRING (2.3731937 48.837881, 2.3731263 48.8379364)",,,,,,,,,
5701726020,5936315383,0,728029441,False,Quai d'Austerlitz,cycleway,,12.049,"LINESTRING (2.3734693 48.8376203, 2.3735405 48.8375226)",,,,,,,,,
5701726020,5701726019,0,728029441,False,Quai d'Austerlitz,cycleway,,35.316,"LINESTRING (2.3734693 48.8376203, 2.3731937 48.837881)",,,,,,,,,
5702693105,910877298,0,77384610,True,Boulevard Brune,cycleway,,7.414,"LINESTRING (2.323443 48.8237989, 2.3233463 48.8238187)",,,,,,,,,
5702693106,5702693105,0,599406780,True,,cycleway,,3.815,"LINESTRING (2.3234277 48.8237661, 2.323443 48.8237989)",,,,,,,,,
5702693107,5702693106,0,599406780,True,,cycleway,,6.271,"LINESTRING (2.3234025 48.8237122, 2.3234277 48.8237661)",,,,,,,,,
5702693108,5702693107,0,599406780,True,,cycleway,,3.432,"LINESTRING (2.3233887 48.8236827, 2.3234025 48.8237122)",,,,,,,,,
5702693110,5702693111,0,54147855,True,Boulevard Brune,cycleway,,2.414,"LINESTRING (2.3233066 48.8235758, 2.3233395 48.8235773)",,,,,,,,,
5702693111,7084615097,0,54147855,True,Boulevard Brune,cycleway,,3.437,"LINESTRING (2.3233395 48.8235773, 2.3233858 48.8235824)",,,,,,,,,
5702693111,7084615096,0,599406780,True,,cycleway,,2.466,"LINESTRING (2.3233395 48.8235773, 2.3233494 48.8235985)",,,,,,,,,
5702693112,6426213585,0,54147855,True,Boulevard Brune,cycleway,,1.287,"LINESTRING (2.323018 48.8236392, 2.3230348 48.8236358)",,,,,,,,,
