u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,access,tunnel,bridge,junction,service
203464057,2573401464,0,305029860,,,tertiary,,True,1.951,"LINESTRING (2.2298327 48.889714, 2.229838 48.8896968)",,,,,roundabout,
203465911,4230211851,0,35359757,2,Avenue Pablo Picasso,tertiary,50,False,6.948,"LINESTRING (2.2286169 48.8883853, 2.2286741 48.8884352)",,,,,,
212620388,7040363183,0,10231244,,Avenue Gambetta,secondary,,False,11.607,"LINESTRING (2.4221032 48.875245, 2.4220128 48.8751592)",D 20b,,,,,
212620388,7040370180,0,10231244,,Avenue Gambetta,secondary,,False,12.192,"LINESTRING (2.4221032 48.875245, 2.4222014 48.8753336)",D 20b,,,,,
212620391,212620393,0,515469465,,Avenue Gambetta,secondary,,False,179.743,"LINESTRING (2.4188752 48.8721701, 2.4174651 48.8708462)",D 20b,,,,,
212620391,288335165,0,515469465,,Avenue Gambetta,secondary,,False,133.286,"LINESTRING (2.4188752 48.8721701, 2.419906 48.8731586)",D 20b,,,,,
212620393,212620391,0,515469465,,Avenue Gambetta,secondary,,False,179.743,"LINESTRING (2.4174651 48.8708462, 2.4188752 48.8721701)",D 20b,,,,,
212620393,5919049816,0,565913605,,Avenue Gambetta,secondary,,False,71.188,"LINESTRING (2.4174651 48.8708462, 2.4169118 48.8703195)",D 20b,,,,,
212620394,2841627136,0,44774301,3,Avenue Gambetta,secondary,,False,13.785,"LINESTRING (2.4161554 48.8696169, 2.4160461 48.8695159)",D 20b,,,,,
212620394,2841627140,0,565913605,,Avenue Gambetta,secondary,,False,10.989,"LINESTRING (2.4161554 48.8696169, 2.4162527 48.8696922)",D 20b,,,,,
215382203,4945623109,0,4787478,,Rue de l'Égalité,secondary,50,False,2.627,"LINESTRING (2.2591011 48.8157647, 2.2591238 48.815783)",D 72,,,,,
215382203,215383104,0,4787478,,Rue de l'Égalité,secondary,50,False,19.587,"LINESTRING (2.2591011 48.8157647, 2.2589309 48.8156288)",D 72,,,,,
215383104,215382203,0,4787478,,Rue de l'Égalité,secondary,50,False,19.587,"LINESTRING (2.2589309 48.8156288, 2.2591011 48.8157647)",D 72,,,,,
215383104,1553924644,0,4787478,,Rue de l'Égalité,secondary,50,False,4.649,"LINESTRING (2.2589309 48.8156288, 2.2588904 48.8155966)",D 72,,,,,
220799594,2080887238,0,4783290,,Avenue de Verdun,primary,50,False,102.729,"LINESTRING (2.2586631 48.8203612, 2.2573897 48.8199732)",D 989,,,,,
220799594,6331773487,0,4783290,,Avenue de Verdun,primary,50,False,5.869,"LINESTRING (2.2586631 48.8203612, 2.2587359 48.8203833)",D 989,,,,,
221235640,487109639,0,286494104,,Avenue Achille Peretti,residential,,False,51.917,"LINESTRING (2.2690262 48.8844389, 2.2696966 48.8842851)",,,,,,
221237389,4318030031,0,83821150,,Avenue du Roule,residential,,False,8.67,"LINESTRING (2.2801753 48.881875, 2.2802867 48.8818483)",,,,,,
221262233,417236774,0,4039431,2,Avenue de Madrid,tertiary,30,False,6.96,"LINESTRING (2.2598135 48.883255, 2.2597849 48.8831953)",,,,,,
221262233,417236773,0,4039431,2,Avenue de Madrid,tertiary,30,False,10.542,"LINESTRING (2.2598135 48.883255, 2.2598579 48.8833452)",,,,,,
228378903,1553526673,0,4790681,,Avenue de la Paix,secondary,50,True,42.498,"LINESTRING (2.2691479 48.8193689, 2.2685732 48.8194226)",D 72,,,,,
228380322,1154617931,0,4790681,,Avenue de la Paix,secondary,50,True,20.483,"LINESTRING (2.2718016 48.8185372, 2.2715954 48.8186617)",D 72,,,,,
228382134,228380322,0,4790681,,Avenue de la Paix,secondary,50,True,16.262,"LINESTRING (2.2719394 48.8184225, 2.2718016 48.8185372)",D 72,,,,,
228382134,4473158231,0,136098262,,Avenue de la Paix,secondary,50,True,7.22,"LINESTRING (2.2719394 48.8184225, 2.2719677 48.8183603)",D 72,,,,,
231933278,3884503957,0,40857216,,Rue du Capitaine Ferber,residential,30,False,7.076,"LINESTRING (2.2659267 48.8260032, 2.2658675 48.8260535)",,,,,,
231933280,2607162923,0,40857216,,Rue du Capitaine Ferber,residential,30,False,20.273,"LINESTRING (2.2648211 48.8269321, 2.2649985 48.8267921)",,,,,,
243828318,243828320,0,22730640,,Promenade des Jardiniers de l'Île,residential,30,True,102.794,"LINESTRING (2.2404979 48.8217117, 2.2418041 48.8220508)",,,,,,
243893309,2321729972,0,118327272,,Rue de Montreuil,residential,30,True,9.475,"LINESTRING (2.4346796 48.8465548, 2.4346772 48.8464696)",,yes,,,,
243896002,243896003,0,628777315,1,,residential,50,True,10.755,"LINESTRING (2.4241674 48.8458517, 2.4242509 48.8459313)",,,,,,
243896003,418861375,0,22736690,1,Avenue Antoine Quinson,residential,50,True,8.483,"LINESTRING (2.4242509 48.8459313, 2.4242901 48.8460031)",,,,,,
243896004,1829184791,0,22736690,1,Avenue Antoine Quinson,residential,50,True,19.773,"LINESTRING (2.4243463 48.8460585, 2.4245867 48.8461397)",,,,,,
243896005,418862576,0,22736690,1,Avenue Antoine Quinson,residential,50,True,53.651,"LINESTRING (2.4250749 48.8462984, 2.4257272 48.8465187)",,,,,,
