u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel
5361391545,5361391546,0,84760679,,Avenue de Stalingrad,secondary,,False,7.512,"LINESTRING (2.4287295 48.8734137, 2.428645 48.8734521)",D 20,
5361391545,5361391544,0,84760679,,Avenue de Stalingrad,secondary,,False,5.372,"LINESTRING (2.4287295 48.8734137, 2.4287852 48.8733822)",D 20,
5361391546,5361391547,0,84760679,,Avenue de Stalingrad,secondary,,False,5.829,"LINESTRING (2.428645 48.8734521, 2.4285766 48.873479)",D 20,
5361391546,5361391545,0,84760679,,Avenue de Stalingrad,secondary,,False,7.512,"LINESTRING (2.428645 48.8734521, 2.4287295 48.8734137)",D 20,
5361391547,212641055,0,84760679,,Avenue de Stalingrad,secondary,,False,8.043,"LINESTRING (2.4285766 48.873479, 2.4284821 48.873516)",D 20,
5361391547,5361391546,0,84760679,,Avenue de Stalingrad,secondary,,False,5.829,"LINESTRING (2.4285766 48.873479, 2.428645 48.8734521)",D 20,
5361677494,2523135742,0,555776456,,Voie de la Déportation,tertiary,,False,17.041,"LINESTRING (2.4214017 48.8869888, 2.4212247 48.8868891)",D 20,
5361677494,2523135743,0,555776456,,Voie de la Déportation,tertiary,,False,20.578,"LINESTRING (2.4214017 48.8869888, 2.4215372 48.887151)",D 20,
5361677495,2523135741,0,555776456,,Voie de la Déportation,tertiary,,False,17.775,"LINESTRING (2.420994 48.8867683, 2.4207935 48.8866779)",D 20,
5361677495,2523135742,0,555776456,,Voie de la Déportation,tertiary,,False,21.563,"LINESTRING (2.420994 48.8867683, 2.4212247 48.8868891)",D 20,
5361677503,1837882502,0,555776456,,Voie de la Déportation,tertiary,,False,5.719,"LINESTRING (2.4206863 48.8866488, 2.4206094 48.8866394)",D 20,
5361677503,5361697826,0,555776456,,Voie de la Déportation,tertiary,,False,2.688,"LINESTRING (2.4206863 48.8866488, 2.4207203 48.886658)",D 20,
5361697826,5361677503,0,555776456,,Voie de la Déportation,tertiary,,False,2.688,"LINESTRING (2.4207203 48.886658, 2.4206863 48.8866488)",D 20,
5361697826,2523135741,0,555776456,,Voie de la Déportation,tertiary,,False,5.792,"LINESTRING (2.4207203 48.886658, 2.4207935 48.8866779)",D 20,
5361697841,2523135745,0,555776456,,Voie de la Déportation,tertiary,,False,5.731,"LINESTRING (2.4217353 48.8873168, 2.4216837 48.887278)",D 20,
5653114721,510569861,0,548078044,,Boulevard Arago,secondary,50,False,124.092,"LINESTRING (2.3356147 48.8345447, 2.3339231 48.8344699)",,
5653114721,5295211213,0,548078044,,Boulevard Arago,secondary,50,False,13.336,"LINESTRING (2.3356147 48.8345447, 2.3357963 48.8345545)",,
5678423705,4414622806,0,219327905,,Avenue du Roule,residential,,False,23.478,"LINESTRING (2.276809 48.882646, 2.2771105 48.8825734)",,
5678423705,2284939910,0,219327905,,Avenue du Roule,residential,,False,25.32,"LINESTRING (2.276809 48.882646, 2.2764839 48.8827244)",,
5790624346,6587222221,0,100995819,2,Rue Henri Farman,residential,30,False,8.247,"LINESTRING (2.2689692 48.832575, 2.2690583 48.8326204)",,
5790624346,3666483457,0,100995819,2,Rue Henri Farman,residential,30,False,17.964,"LINESTRING (2.2689692 48.832575, 2.2687749 48.8324763)",,
5864973823,1911344403,0,620793263,2,Boulevard Rouget de Lisle,residential,30,True,2.546,"LINESTRING (2.4369855 48.8581626, 2.4369852 48.8581855)",,
5895963300,5895963302,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,2.757,"LINESTRING (2.4100398 48.8442984, 2.4100024 48.8443014)",,
5895963300,368058,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,10.005,"LINESTRING (2.4100398 48.8442984, 2.4101755 48.8442874)",,
5895963302,4229001606,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,73.764,"LINESTRING (2.4100024 48.8443014, 2.4090028 48.8443869)",,
5895963302,5895963300,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,2.757,"LINESTRING (2.4100024 48.8443014, 2.4100398 48.8442984)",,
5917362866,212623972,0,246387156,,Rue Adelaïde Lahaye,tertiary,,True,3.821,"LINESTRING (2.4163172 48.8677481, 2.4163616 48.86773)",,
6088222350,27286645,0,648493110,,Avenue de la Porte des Ternes,tertiary,50,False,24.318,"LINESTRING (2.2814716 48.8815744, 2.2817888 48.8815087)",,
6088222350,6167981428,0,648493110,,Avenue de la Porte des Ternes,tertiary,50,False,3.175,"LINESTRING (2.2814716 48.8815744, 2.2814306 48.8815838)",,
6088222351,6167981428,0,648493110,,Avenue de la Porte des Ternes,tertiary,50,False,28.495,"LINESTRING (2.2810625 48.8816679, 2.2814306 48.8815838)",,
6088254820,6167994511,0,83821149,,Avenue du Roule,residential,,False,2.991,"LINESTRING (2.2774449 48.882504, 2.2774835 48.8824951)",,
6088254820,2284939896,0,83821149,,Avenue du Roule,residential,,False,9.819,"LINESTRING (2.2774449 48.882504, 2.2773178 48.8825325)",,
6088298411,487152330,0,83821149,,Avenue du Roule,residential,,False,9.07,"LINESTRING (2.2775464 48.8824807, 2.2776635 48.8824538)",,
6088298411,6167994511,0,83821149,,Avenue du Roule,residential,,False,4.87,"LINESTRING (2.2775464 48.8824807, 2.2774835 48.8824951)",,
6137464343,1168644430,0,364531487,,Avenue de Verdun,primary,50,False,1.885,"LINESTRING (2.2426867 48.8189992, 2.2426611 48.819001)",D 989,
6139281686,2880104589,0,630455863,6,Avenue de la Grande Armée,primary,50,False,6.357,"LINESTRING (2.2846517 48.8770801, 2.2847301 48.8770554)",,
6139281686,299014749,0,655230854,6,Avenue de la Grande Armée,primary,50,False,20.366,"LINESTRING (2.2846517 48.8770801, 2.2844006 48.8771593)",,
6149651519,401350156,0,35596786,,Boulevard Paul-Émile Victor,residential,,True,51.705,"LINESTRING (2.2639742 48.8942762, 2.2634552 48.8939603)",,
6149651520,1431832668,0,34572386,,Boulevard du Parc,residential,,True,2.435,"LINESTRING (2.2637293 48.8926019, 2.2637544 48.8926163)",,
