u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,tunnel,service,width
3910317880,3910317879,0,42211592,False,,Randbølvej,residential,,68.053,"LINESTRING (12.4962574 55.692866, 12.4968113 55.6923396)",,,,,,,
3910340712,20917732,0,454885247,True,2,Sallingvej,tertiary,50,17.243,"LINESTRING (12.4956026 55.693536, 12.4958772 55.6935264)",,,,,,,
3910340713,4924992928,0,387801267,True,3,Sallingvej,tertiary,50,36.773,"LINESTRING (12.4956494 55.6936068, 12.4951194 55.6937487)",,,,,,,
3910340714,3910340715,0,387801266,True,2,Jyllingevej,tertiary,50,23.189,"LINESTRING (12.4932915 55.6936348, 12.4936494 55.6936877)",,,,,,,
3910340715,3910340716,0,387801266,True,2,Jyllingevej,tertiary,50,16.091,"LINESTRING (12.4936494 55.6936877, 12.4939022 55.693713)",,,,,,,
3910340716,3910340718,0,387801266,True,2,Jyllingevej,tertiary,50,11.988,"LINESTRING (12.4939022 55.693713, 12.4940924 55.6937245)",,,,,,,
3910340717,3910340712,0,454885247,True,2,Sallingvej,tertiary,50,59.095,"LINESTRING (12.4947142 55.6937141, 12.4956026 55.693536)",,,,,,,
3910340718,3910340720,0,387801266,True,2,Jyllingevej,tertiary,50,17.377,"LINESTRING (12.4940924 55.6937245, 12.4943686 55.6937382)",,,,,,,
3910340719,3910340717,0,387801266,True,2,Jyllingevej,tertiary,50,10.532,"LINESTRING (12.4945485 55.6937299, 12.4947142 55.6937141)",,,,,,,
3910340720,3910340719,0,387801266,True,2,Jyllingevej,tertiary,50,11.312,"LINESTRING (12.4943686 55.6937382, 12.4945485 55.6937299)",,,,,,,
3910340722,3910340717,0,387801268,True,2,Sallingvej,tertiary,50,25.338,"LINESTRING (12.4943455 55.6938076, 12.4947142 55.6937141)",,,,,,,
3910340724,3910340722,0,387801268,True,2,Sallingvej,tertiary,50,16.491,"LINESTRING (12.4941236 55.6938873, 12.4943455 55.6938076)",,,,,,,
3910340724,125457,0,387804858,False,4,Jyllingevej,tertiary,50,19.542,"LINESTRING (12.4941236 55.6938873, 12.494409 55.6939581)",,,,,,,
3910340724,279376543,0,454885235,False,4,Jyllingevej,tertiary,50,78.718,"LINESTRING (12.4941236 55.6938873, 12.4929699 55.6936074)",,,,,,,
3910340727,1607352156,0,387801270,True,2,Slotsherrensvej,tertiary,50,21.403,"LINESTRING (12.4941094 55.6940474, 12.4938064 55.6941362)",,,,,,,
3910340728,3910340724,0,387801269,True,4,Slotsherrensvej,tertiary,50,48.916,"LINESTRING (12.4934712 55.6941288, 12.4941236 55.6938873)",,,,,,,
3910340729,454464814,0,1814472,False,,Slotsherrensvej,tertiary,50,49.236,"LINESTRING (12.4930764 55.6943125, 12.492413 55.6945497)",,,,,,,
3910340729,3910340728,0,387801269,True,4,Slotsherrensvej,tertiary,50,32.085,"LINESTRING (12.4930764 55.6943125, 12.4934712 55.6941288)",,,,,,,
3910377290,20917732,0,128671269,False,2,Sallingvej,tertiary,50,36.381,"LINESTRING (12.4964225 55.6934142, 12.4958772 55.6935264)",,,,,,,
3910377290,20917716,0,128671269,False,2,Sallingvej,tertiary,50,62.361,"LINESTRING (12.4964225 55.6934142, 12.4973649 55.6932342)",,,,,,,
3910377297,271648699,0,496964514,False,2,Bellahøjvej,tertiary,50,53.081,"LINESTRING (12.4985913 55.6950014, 12.4978228 55.6948007)",,,,,,,
3910377297,24973633,0,496964514,False,2,Bellahøjvej,tertiary,50,48.77,"LINESTRING (12.4985913 55.6950014, 12.4992974 55.6951858)",,,,,,,
3910380993,2190032084,0,128671269,False,2,Sallingvej,tertiary,50,32.934,"LINESTRING (12.5007169 55.692737, 12.5002014 55.6927945)",,,,,,,
3910380993,2190032081,0,128671269,False,2,Sallingvej,tertiary,50,21.576,"LINESTRING (12.5007169 55.692737, 12.5010546 55.6926993)",,,,,,,
3910621235,6945129853,0,2414685,False,,Vanløse Allé,tertiary,50,6.068,"LINESTRING (12.490608 55.6879177, 12.4907017 55.6879314)",,,,,,,
3910621235,3772022529,0,2414685,False,,Vanløse Allé,tertiary,50,6.734,"LINESTRING (12.490608 55.6879177, 12.490504 55.6879025)",,,,,,,
3910621237,1421350540,0,2414685,False,,Vanløse Allé,tertiary,50,40.332,"LINESTRING (12.4919611 55.6881228, 12.4925817 55.6882186)",,,,,,,
3910621237,662915,0,2414685,False,,Vanløse Allé,tertiary,50,59.572,"LINESTRING (12.4919611 55.6881228, 12.4910444 55.6879814)",,,,,,,
3911285286,20917716,0,128671269,False,2,Sallingvej,tertiary,50,31.36,"LINESTRING (12.4978414 55.6931481, 12.4973649 55.6932342)",,,,,,,
3911285286,4636012233,0,128671269,False,2,Sallingvej,tertiary,50,40.981,"LINESTRING (12.4978414 55.6931481, 12.4984719 55.6930504)",,,,,,,
3913134347,3861555013,0,682270696,False,2,Bredevej,tertiary,50,11.19,"LINESTRING (12.4859462 55.7916509, 12.4857803 55.7916131)",,,,,,,
3913134347,3374578,0,682270696,False,2,Bredevej,tertiary,50,28.153,"LINESTRING (12.4859462 55.7916509, 12.4863635 55.7917461)",,,,,,,
3920593389,278954595,0,607561914,False,2,Vejlesøvej,tertiary,50,14.83,"LINESTRING (12.4675637 55.8068776, 12.4675976 55.8070096)",,,,,,,
3920593389,1386052008,0,607561914,False,2,Vejlesøvej,tertiary,50,37.323,"LINESTRING (12.4675637 55.8068776, 12.4674782 55.8065454)",,,,,,,
3921096069,277026341,0,32835507,False,4,Buddingevej,tertiary,60,36.429,"LINESTRING (12.4950775 55.7574935, 12.4951102 55.7578206)",,,,,,,
3921096070,258420088,0,298214336,False,,Buddingevej,tertiary,60,14.025,"LINESTRING (12.4953344 55.7599513, 12.4953292 55.7598252)",,,,,,,
3921096070,387625287,0,298214336,False,,Buddingevej,tertiary,60,17.496,"LINESTRING (12.4953344 55.7599513, 12.4953408 55.7601086)",,,,,,,
3924971620,1707554210,0,237236391,False,2,Gladsaxe Møllevej,tertiary,50,41.1,"LINESTRING (12.4737706 55.7395837, 12.4739709 55.7392317)",,,,,,,
