u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,service,width,access,tunnel,ref,junction,area
299615612,299615613,0,25694082,False,2,,path,,9.237,"LINESTRING (12.4794261 41.9179859, 12.4793751 41.9180598)",,,,,,,,
299615612,299615611,0,25694082,False,2,,path,,12.003,"LINESTRING (12.4794261 41.9179859, 12.4794462 41.917879)",,,,,,,,
299615613,299615614,0,25694082,False,2,,path,,9.317,"LINESTRING (12.4793751 41.9180598, 12.4793128 41.9181296)",,,,,,,,
299615613,299615612,0,25694082,False,2,,path,,9.237,"LINESTRING (12.4793751 41.9180598, 12.4794261 41.9179859)",,,,,,,,
299615614,299615615,0,25694082,False,2,,path,,10.427,"LINESTRING (12.4793128 41.9181296, 12.4792154 41.9181891)",,,,,,,,
299615614,299615613,0,25694082,False,2,,path,,9.317,"LINESTRING (12.4793128 41.9181296, 12.4793751 41.9180598)",,,,,,,,
299615615,299615617,0,25694082,False,2,,path,,101.04,"LINESTRING (12.4792154 41.9181891, 12.478171 41.91866)",,,,,,,,
299615615,299615614,0,25694082,False,2,,path,,10.427,"LINESTRING (12.4792154 41.9181891, 12.4793128 41.9181296)",,,,,,,,
299615617,303988214,0,25694082,False,2,,path,,11.934,"LINESTRING (12.478171 41.91866, 12.4780302 41.9186833)",,,,,,,,
299615617,299615615,0,25694082,False,2,,path,,101.04,"LINESTRING (12.478171 41.91866, 12.4792154 41.9181891)",,,,,,,,
299615621,299615622,0,25694082,False,2,,path,,11.329,"LINESTRING (12.4779203 41.9186832, 12.4777837 41.9186762)",,,,,,,,
299615621,303988214,0,25694082,False,2,,path,,9.093,"LINESTRING (12.4779203 41.9186832, 12.4780302 41.9186833)",,,,,,,,
299615622,745410866,0,25694082,False,2,,path,,11.631,"LINESTRING (12.4777837 41.9186762, 12.4776503 41.9186432)",,,,,,,,
299615622,299615621,0,25694082,False,2,,path,,11.329,"LINESTRING (12.4777837 41.9186762, 12.4779203 41.9186832)",,,,,,,,
