u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,bridge,access,width,tunnel,junction,area
5569843634,5752587047,0,582365223,,,service,10,False,4.569,"LINESTRING (12.5271486 41.9071494, 12.5271948 41.9071269)",alley,,,,,,,
5569843634,5569843635,0,582365223,,,service,10,False,5.326,"LINESTRING (12.5271486 41.9071494, 12.5270889 41.9071673)",alley,,,,,,,
5569843635,5569843634,0,582365223,,,service,10,False,5.326,"LINESTRING (12.5270889 41.9071673, 12.5271486 41.9071494)",alley,,,,,,,
5569843635,5750109884,0,582365223,,,service,10,False,2.619,"LINESTRING (12.5270889 41.9071673, 12.5270612 41.9071787)",alley,,,,,,,
5569843636,5750109884,0,582365223,,,service,10,False,4.348,"LINESTRING (12.5270312 41.9072108, 12.5270612 41.9071787)",alley,,,,,,,
5569843636,5569843637,0,582365223,,,service,10,False,10.464,"LINESTRING (12.5270312 41.9072108, 12.5269956 41.9073011)",alley,,,,,,,
5569843637,5569843636,0,582365223,,,service,10,False,10.464,"LINESTRING (12.5269956 41.9073011, 12.5270312 41.9072108)",alley,,,,,,,
5569843637,5569843638,0,582365223,,,service,10,False,4.448,"LINESTRING (12.5269956 41.9073011, 12.5269917 41.907341)",alley,,,,,,,
5569843638,5569843637,0,582365223,,,service,10,False,4.448,"LINESTRING (12.5269917 41.907341, 12.5269956 41.9073011)",alley,,,,,,,
5569843638,5695540183,0,582365223,,,service,10,False,2.505,"LINESTRING (12.5269917 41.907341, 12.5269982 41.907363)",alley,,,,,,,
5569843639,5695540183,0,582365223,,,service,10,False,3.135,"LINESTRING (12.5270071 41.9073904, 12.5269982 41.907363)",alley,,,,,,,
5569843639,5569843640,0,582365223,,,service,10,False,4.08,"LINESTRING (12.5270071 41.9073904, 12.5270219 41.9074254)",alley,,,,,,,
5569843640,5569843639,0,582365223,,,service,10,False,4.08,"LINESTRING (12.5270219 41.9074254, 12.5270071 41.9073904)",alley,,,,,,,
5569843640,394259867,0,582365223,,,service,10,False,6.477,"LINESTRING (12.5270219 41.9074254, 12.5270672 41.9074729)",alley,,,,,,,
5569843642,394259869,0,34362846,,,service,10,False,4.425,"LINESTRING (12.5271466 41.9074504, 12.5271921 41.9074295)",alley,,,,,,,
5569843642,394259867,0,34362846,,,service,10,False,7.031,"LINESTRING (12.5271466 41.9074504, 12.5270672 41.9074729)",alley,,,,,,,
5569843643,5551245093,0,582365224,,,service,10,False,4.891,"LINESTRING (12.5295585 41.906855, 12.5295934 41.9068195)",alley,,,,,,,
5569843643,5747482509,0,582365224,,,service,10,False,9.244,"LINESTRING (12.5295585 41.906855, 12.5295306 41.9069355)",alley,,,,,,,
5569843645,1553168069,0,582365225,,,service,10,False,3.356,"LINESTRING (12.5274429 41.904613, 12.5274385 41.904643)",alley,,,,,,,
5569843646,5569843647,0,34362862,,,service,10,False,0.591,"LINESTRING (12.5274446 41.9046075, 12.5274466 41.9046024)",alley,,,,,,,
5569843647,5569843646,0,34362862,,,service,10,False,0.591,"LINESTRING (12.5274466 41.9046024, 12.5274446 41.9046075)",alley,,,,,,,
5569843647,5686113430,0,34362862,,,service,10,False,0.374,"LINESTRING (12.5274466 41.9046024, 12.5274475 41.9045991)",alley,,,,,,,
5569843648,5967646139,0,579700070,,,service,10,False,20.117,"LINESTRING (12.5285252 41.9079903, 12.5287683 41.9079906)",alley,,,,,,,
5569843648,5750109871,0,579700070,,,service,10,False,57.104,"LINESTRING (12.5285252 41.9079903, 12.5278352 41.9079842)",alley,,,,,,,
5569843649,5686113456,0,34362851,,,service,10,False,6.082,"LINESTRING (12.527215 41.9046109, 12.5272884 41.9046137)",alley,,,,,,,
5569843649,2150892325,0,34362851,,,service,10,False,50.282,"LINESTRING (12.527215 41.9046109, 12.5266078 41.9045948)",alley,,,,,,,
5569843650,394260007,0,34362871,,,service,10,False,3.724,"LINESTRING (12.528061 41.9003824, 12.5281023 41.9003957)",alley,,,,,,,
5569843650,5961603719,0,34362871,,,service,10,False,4.164,"LINESTRING (12.528061 41.9003824, 12.5280112 41.9003771)",alley,,,,,,,
