u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,access,bridge,width
1857514325,1857514321,0,353008506,False,,Ciclovía Alameda,cycleway,10.267,"LINESTRING (-70.6647423 -33.4472928, -70.6646351 -33.4472699)",,,,
1857514325,4765531800,0,557381884,True,2,Almirante Latorre,secondary,13.969000000000001,"LINESTRING (-70.6647423 -33.4472928, -70.6647552 -33.4473588, -70.6647372 -33.4474156)",,,,
1857514325,626082058,0,353008506,False,,Ciclovía Alameda,cycleway,1295.3640000000003,"LINESTRING (-70.6647423 -33.4472928, -70.66491809999999 -33.4473266, -70.6650023 -33.4472297, -70.6657311 -33.4474053, -70.6658614 -33.4474899, -70.6663344 -33.4476198, -70.666408 -33.4476373, -70.6664675 -33.4476514, -70.6664834 -33.4476494, -70.666496 -33.4476459, -70.66650869999999 -33.4476374, -70.6665213 -33.4476314, -70.6665344 -33.4476292, -70.66655710000001 -33.4476308, -70.66699680000001 -33.4477228, -70.6670122 -33.4477237, -70.6670244 -33.4477221, -70.6670328 -33.4477182, -70.6671073 -33.4476742, -70.6671211 -33.4476743, -70.667266 -33.4477113, -70.6673418 -33.4477484, -70.6674165 -33.4477849, -70.66758590000001 -33.44783, -70.6681999 -33.4480337, -70.66831620000001 -33.4480598, -70.6684498 -33.4480911, -70.6685039 -33.4481011, -70.66854669999999 -33.4481021, -70.6687697 -33.4481542, -70.6702396 -33.4485543, -70.67034750000001 -33.4486163, -70.670422 -33.4486344, -70.6720492 -33.4490628, -70.67245459999999 -33.4491497, -70.67250730000001 -33.4491233, -70.6727388 -33.4491899, -70.67285630000001 -33.4492244, -70.6729182 -33.4492425, -70.67295369999999 -33.4492649, -70.6739669 -33.4495508, -70.6740082 -33.449563, -70.674098 -33.4496031, -70.6741179 -33.4496194, -70.67414309999999 -33.449644, -70.67423909999999 -33.4496732, -70.6744563 -33.4497305, -70.67456369999999 -33.4497024, -70.6755769 -33.4499663, -70.6764125 -33.4502039, -70.6764926 -33.4502691, -70.6766354 -33.4503164, -70.6776551 -33.4505375, -70.6777945 -33.4506098, -70.6778463 -33.4506348)",,,,
3891166962,3891166960,0,179551969,True,1,República,residential,125.795,"LINESTRING (-70.6670946 -33.4545201, -70.6671092 -33.4544429, -70.6672049 -33.4539848, -70.6673121 -33.4534713, -70.6673285 -33.4534058)",60,,,
4399529555,4765531800,0,"[646137971, 445511085]",False,4,Almirante Latorre,secondary,426.484,"LINESTRING (-70.6645896 -33.4512454, -70.66467710000001 -33.4502992, -70.66471559999999 -33.4491676, -70.6647585 -33.4481581, -70.6647645 -33.4476738, -70.6647634 -33.4475601, -70.66475250000001 -33.4474838, -70.6647372 -33.4474156)",60,,,
4399529555,1857514346,0,"[448560506, 441510939]",True,2,"['Almirante Latorre', 'Club Hípico']",secondary,189.822,"LINESTRING (-70.6645896 -33.4512454, -70.6645992 -33.4513257, -70.6646085 -33.4513651, -70.66462110000001 -33.4514092, -70.6646413 -33.4514556, -70.66466389999999 -33.451498, -70.6646812 -33.4515293, -70.66471629999999 -33.4515702, -70.6648182 -33.4516336, -70.6649826 -33.4528804)",60,,,
4765531800,1857514321,0,445511083,True,,Almirante Latorre,secondary,19.563000000000002,"LINESTRING (-70.6647372 -33.4474156, -70.6646526 -33.4473435, -70.6646351 -33.4472699)",,,,
4765531800,4399529555,0,"[646137971, 445511085]",False,4,Almirante Latorre,secondary,426.48400000000004,"LINESTRING (-70.6647372 -33.4474156, -70.66475250000001 -33.4474838, -70.6647634 -33.4475601, -70.6647645 -33.4476738, -70.6647585 -33.4481581, -70.66471559999999 -33.4491676, -70.66467710000001 -33.4502992, -70.6645896 -33.4512454)",60,,,
5664289140,5054377948,0,60442721,True,2,Portugal,secondary,16.673,"LINESTRING (-70.6405518 -33.440295, -70.640716 -33.4402341)",,,,
5664289140,386248,0,448515627,False,4,Avenida Portugal,secondary,588.901,"LINESTRING (-70.6405518 -33.440295, -70.6403138 -33.4403789, -70.6398403 -33.4409108, -70.6390141 -33.4417899, -70.6389465 -33.441858, -70.6388962 -33.4419105, -70.63790830000001 -33.4429241, -70.6378211 -33.4430267, -70.6377165 -33.4431573, -70.6375407 -33.4435479, -70.6373947 -33.4437798, -70.63692829999999 -33.4445652)",,,,
