u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width
254346862,7787943387,0,238513527,,True,Martínez de Rozas,tertiary,89.261,"LINESTRING (-70.67012440000001 -33.4338787, -70.67108380000001 -33.4339368)",2,,,
254346863,254346740,0,144917235,,True,Mapocho,secondary,91.2,"LINESTRING (-70.67023639999999 -33.4321702, -70.6692544 -33.4321372)",2,,,
254346943,254346952,0,27989202,,True,Mapocho,secondary,90.199,"LINESTRING (-70.6773401 -33.4327046, -70.676374 -33.4326153)",2,,,
254346952,254346953,0,27989202,,True,Mapocho,secondary,134.933,"LINESTRING (-70.676374 -33.4326153, -70.674926 -33.4325045)",2,,,
254346953,254346963,0,27989202,,True,Mapocho,secondary,83.126,"LINESTRING (-70.674926 -33.4325045, -70.6740331 -33.4324445)",2,,,
254346956,254346943,0,27989202,,True,Mapocho,secondary,95.343,"LINESTRING (-70.67835890000001 -33.4328156, -70.6773401 -33.4327046)",2,,,
254346958,254346956,0,27989202,,True,Mapocho,secondary,97.097,"LINESTRING (-70.6793969 -33.4329257, -70.67835890000001 -33.4328156)",2,,,
254346963,264245049,0,27989202,,True,Mapocho,secondary,81.369,"LINESTRING (-70.6740331 -33.4324445, -70.6731589 -33.4323876)",2,,,
254347180,254344556,0,293796405,,True,Rosas,residential,104.691,"LINESTRING (-70.6790156 -33.4373421, -70.68014030000001 -33.4374167)",,,,
264245049,254346742,0,27989202,,True,Mapocho,secondary,81.736,"LINESTRING (-70.6731589 -33.4323876, -70.6722815 -33.432323)",2,,,
264246077,254346863,0,27989202,,True,Mapocho,secondary,99.93,"LINESTRING (-70.67130899999999 -33.4322502, -70.67023639999999 -33.4321702)",2,,,
264246077,605145713,0,223877454,,True,General Bulnes,tertiary,36.719,"LINESTRING (-70.67130899999999 -33.4322502, -70.6713482 -33.4319216)",2,,,
264246080,6700679092,0,323913765,,False,Ciclovia General Bulnes,cycleway,15.953,"LINESTRING (-70.67179779999999 -33.4283328, -70.6719001 -33.4282175)",,,,
264246089,605145831,0,223877454,,True,General Bulnes,tertiary,70.87,"LINESTRING (-70.67163789999999 -33.4297444, -70.67172170000001 -33.4291109)",2,,,
264246712,605145768,0,671178316,,True,Mapocho,secondary,68.74,"LINESTRING (-70.66765239999999 -33.4320974, -70.66691179999999 -33.4320848)",2,,,
264247291,253281808,0,262442723,,True,Rosas,residential,92.493,"LINESTRING (-70.666214 -33.4364344, -70.66720599999999 -33.4365157)",,,,
264247295,605145774,0,238513527,,True,Martínez de Rozas,tertiary,38.241,"LINESTRING (-70.6663508 -33.4336328, -70.6667621 -33.4336543)",2,,,
265664915,265679611,0,46889269,,True,Arturo Prat,tertiary,141.823,"LINESTRING (-70.6469286 -33.467181, -70.6468699 -33.4684555)",,,,
265667599,2048167128,0,518091967,,True,Arturo Prat,tertiary,69.152,"LINESTRING (-70.6466607 -33.4731905, -70.646631 -33.4738119)",,,,
265667601,265667696,0,46889269,,True,Arturo Prat,tertiary,130.156,"LINESTRING (-70.64674840000001 -33.470862, -70.64671559999999 -33.4720322)",,,,
265667604,265667601,0,46889269,,True,Arturo Prat,tertiary,140.704,"LINESTRING (-70.6468242 -33.4695982, -70.64674840000001 -33.470862)",,,,
265667605,265668405,0,46889269,,True,Arturo Prat,tertiary,143.892,"LINESTRING (-70.64719119999999 -33.4610513, -70.6471384 -33.4623446)",,,,
265667696,6101249659,0,46889269,,True,Arturo Prat,tertiary,40.85,"LINESTRING (-70.64671559999999 -33.4720322, -70.6466933 -33.4723991)",,,,
265668133,6532153247,0,46889269,,True,Arturo Prat,tertiary,38.566,"LINESTRING (-70.6470894 -33.4635676, -70.64707420000001 -33.4639142)",,,,
265668369,663095027,0,46889269,,True,Arturo Prat,tertiary,74.308,"LINESTRING (-70.64698079999999 -33.4659941, -70.6469542 -33.466662)",,,,
265668405,5683038564,0,46889269,,True,Arturo Prat,tertiary,127.97,"LINESTRING (-70.6471384 -33.4623446, -70.6470916 -33.4634948)",,,,
