u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width,junction,tunnel,ref
3903885508,663087879,0,509135664,,True,Ñuble,secondary,59.233,"LINESTRING (-70.65460330000001 -33.4704301, -70.65396990000001 -33.4703623)",2,,,,,,
3903885508,3932073057,0,627916811,,False,San Ignacio,tertiary,7.908,"LINESTRING (-70.65460330000001 -33.4704301, -70.65461000000001 -33.4703592)",2,,,,,,
3903885509,3383499217,0,442348158,,False,San Ignacio,tertiary,9.732,"LINESTRING (-70.6557943 -33.4561193, -70.6557818 -33.4562062)",3,,,,,,
3903885509,253348608,0,442348158,,False,San Ignacio,tertiary,180.37,"LINESTRING (-70.6557943 -33.4561193, -70.6559453 -33.4545021)",3,,,,,,
3921015598,4455753375,0,8000752,,True,Avenida Almirante Blanco Encalada,primary,28.443,"LINESTRING (-70.67211639999999 -33.4584793, -70.6718115 -33.4584524)",3,,,,,,
3921015598,2219964952,0,15239340,,True,Abate Molina,secondary,18.468,"LINESTRING (-70.67211639999999 -33.4584793, -70.67212290000001 -33.4583133)",3,,,,,,
3932073057,6314508728,0,387045718,,True,Ñuble,tertiary,34.877,"LINESTRING (-70.65461000000001 -33.4703592, -70.6549855 -33.4703756)",2,,,,,,
3932073057,3903885508,0,627916811,,False,San Ignacio,tertiary,7.908,"LINESTRING (-70.65461000000001 -33.4703592, -70.65460330000001 -33.4704301)",2,,,,,,
3932073057,2162934197,0,627916811,,False,San Ignacio,tertiary,48.861,"LINESTRING (-70.65461000000001 -33.4703592, -70.6546458 -33.4699208)",2,,,,,,
3932073069,6071893396,0,387045624,,True,,primary_link,4.017,"LINESTRING (-70.6558888 -33.4702308, -70.6558483 -33.470218)",1,,,,,,
3932093257,4399357646,0,8269844,,True,Avenida Tupper,primary,4.64,"LINESTRING (-70.657087 -33.4604188, -70.6571369 -33.460416)",3,60,,,,,
3932093261,4399357641,0,626756850,,True,Avenida Tupper,primary,4.735,"LINESTRING (-70.65738949999999 -33.4603073, -70.6574256 -33.4602772)",3,60,,,,,
3932093262,253366628,0,385515282,,True,Avenida José Joaquín Prieto Vial,primary,7.75,"LINESTRING (-70.6564712 -33.4605981, -70.65647559999999 -33.4605285)",3,60,,,,,
3932093263,4399302294,0,385515278,,True,Acceso Viel,primary,1.638,"LINESTRING (-70.6573532 -33.4605238, -70.6573669 -33.4605331)",,,,,,,
3932093263,2353461263,0,626756852,,True,Avenida Tupper,primary,3.0,"LINESTRING (-70.6573532 -33.4605238, -70.657324 -33.4605354)",3,60,,,,,
3932093265,4399302295,0,626756852,,True,Avenida Tupper,primary,4.166,"LINESTRING (-70.6572257 -33.4605607, -70.6571816 -33.4605678)",3,60,,,,,
3932128759,13885183,0,626756846,,True,Avenida Tupper,primary,10.081,"LINESTRING (-70.6575565 -33.4586673, -70.657579 -33.458756)",3,60,,,,,
3932128760,4399294076,0,626756852,,True,Avenida Tupper,primary,6.472,"LINESTRING (-70.6577769 -33.4598096, -70.6577769 -33.4598678)",3,60,,,,,
3932128764,369965256,0,626756850,,True,Avenida Tupper,primary,8.228,"LINESTRING (-70.6575763 -33.4599791, -70.6575763 -33.4599051)",3,60,,,,,
3946851700,386293,0,629313157,,True,San Antonio,secondary,71.085,"LINESTRING (-70.64864590000001 -33.43642, -70.64853789999999 -33.4370529)",2,,,,,,
4028170615,4474352275,0,400213284,,False,Arquitecto Luciano Kulczewski,residential,15.196,"LINESTRING (-70.6392943 -33.4380075, -70.63938899999999 -33.437896)",,,,,,,
4028170615,6566368889,0,400213284,,False,Arquitecto Luciano Kulczewski,residential,12.582,"LINESTRING (-70.6392943 -33.4380075, -70.6392304 -33.4381073)",,,,,,,
4053548632,264246080,0,39505779,,True,Avenida Presidente Balmaceda,primary,71.363,"LINESTRING (-70.6710824 -33.4285682, -70.67179779999999 -33.4283328)",3,,,,,,
4053549970,3708505568,0,448217175,,True,San Diego,primary,136.543,"LINESTRING (-70.6508666 -33.4486971, -70.6510863 -33.4474829)",3,,,,,,
4081737135,6456689365,0,106288151,,True,,primary_link,1.261,"LINESTRING (-70.6603846 -33.456727, -70.6603951 -33.4567342)",,,,,,,
4082891342,6765093415,0,26103685,,True,Aillavillu,living_street,2.756,"LINESTRING (-70.6521214 -33.4333377, -70.6521259 -33.4333622)",1,,,,,,
4082891371,6023328721,0,26103685,,True,Aillavillu,living_street,3.604,"LINESTRING (-70.6521398 -33.4331935, -70.65212510000001 -33.4332235)",1,,,,,,
4095850739,5357794638,0,445535757,,True,Avenida General Rondizzoni,primary,2.863,"LINESTRING (-70.6633861 -33.4703963, -70.66341 -33.4704126)",1,60,,,,,
4130454002,265689364,0,8000688,,False,Avenida Beaucheff,secondary,131.035,"LINESTRING (-70.6634291 -33.4704557, -70.6633763 -33.4716333)",2,60,,,,,
4130454002,609293271,0,179550319,,True,Avenida General Rondizzoni,primary,114.077,"LINESTRING (-70.6634291 -33.4704557, -70.6622022 -33.4703845)",2,,,,,,
4130454002,4130454005,0,333924613,,False,Avenida Beaucheff,secondary,51.363,"LINESTRING (-70.6634291 -33.4704557, -70.66347089999999 -33.4699951)",3,60,,,,,
4130454004,3409729117,0,201854689,,True,Avenida General Rondizzoni,primary_link,4.637,"LINESTRING (-70.66323850000001 -33.4703045, -70.66327699999999 -33.4702779)",1,60,,,,,
4130454005,609293245,0,47534778,,True,Agustín Edwards,residential,132.57,"LINESTRING (-70.66347089999999 -33.4699951, -70.6648994 -33.4700332)",,60,,,,,
4130454005,609293235,0,333924613,,False,Avenida Beaucheff,secondary,42.373,"LINESTRING (-70.66347089999999 -33.4699951, -70.6634882 -33.4696143)",3,60,,,,,
4130454005,4130454002,0,333924613,,False,Avenida Beaucheff,secondary,51.363,"LINESTRING (-70.66347089999999 -33.4699951, -70.6634291 -33.4704557)",3,60,,,,,
4179252945,5917136743,0,417368694,,False,Las Amapolas,residential,2.166,"LINESTRING (-70.6673423 -33.4724594, -70.6673607 -33.4724474)",,,,,,,
4179252945,3892806939,0,417368694,,False,Las Amapolas,residential,11.596,"LINESTRING (-70.6673423 -33.4724594, -70.667238 -33.4725169)",,,,,,,
