u,v,key,osmid,oneway,name,highway,length,geometry,lanes,access,maxspeed,bridge,tunnel,ref,junction
253282028,14095459,0,626802217,True,Esperanza,secondary,173.463,"LINESTRING (-70.6746303 -33.4479991, -70.6746119 -33.4480365, -70.6745592 -33.4483889, -70.6744592 -33.4489039, -70.67436600000001 -33.4493113, -70.6743407 -33.4494042, -70.674286 -33.4495288)",2,,,,,,
253282030,4785281193,0,23406230,True,Rafael Sotomayor,residential,52.66,"LINESTRING (-70.6718929 -33.4473897, -70.6717898 -33.4478554)",1,,,,,,
253282030,253281843,0,626816116,True,Romero,residential,134.019,"LINESTRING (-70.6718929 -33.4473897, -70.6732892 -33.4476984)",,,,,,,
253282032,253411549,0,23393740,True,Romero,residential,10.104,"LINESTRING (-70.6675852 -33.4463578, -70.6676899 -33.4463828)",,,,,,,
253282032,605144029,0,726515491,True,Avenida Ricardo Cumming,primary,91.05,"LINESTRING (-70.6675852 -33.4463578, -70.66766079999999 -33.4455414)",2,,30,,,,
253282033,253282032,0,23393740,True,Romero,residential,121.509,"LINESTRING (-70.6663389 -33.4460221, -70.6675852 -33.4463578)",,,,,,,
253282033,4401552198,0,447767937,True,Maturana,residential,5.255,"LINESTRING (-70.6663389 -33.4460221, -70.66633419999999 -33.4460692)",,,,,,,
253338351,253354833,0,23400886,True,Cóndor,residential,346.33799999999997,"LINESTRING (-70.6469811 -33.449957, -70.64691500000001 -33.4499477, -70.64459909999999 -33.4496418, -70.6433856 -33.4493937, -70.6433157 -33.44938)",,,,,,,
253338351,253338356,0,447774594,True,San Francisco,secondary,106.869,"LINESTRING (-70.6469811 -33.449957, -70.6469278 -33.4504103, -70.6468765 -33.4509141)",2,,50,,,,
253338356,253338364,0,447774594,True,San Francisco,secondary,128.019,"LINESTRING (-70.6468765 -33.4509141, -70.6468308 -33.451286, -70.64674309999999 -33.45206)",2,,50,,,,
253338356,130018992,0,448217172,True,Santa Isabel,secondary,230.434,"LINESTRING (-70.6468765 -33.4509141, -70.6467257 -33.450885, -70.64527940000001 -33.4506545, -70.6444381 -33.4505204)",3,,,,,,
253338364,253351469,0,23401134,True,Eyzaguirre,residential,109.156,"LINESTRING (-70.64674309999999 -33.45206, -70.6478872 -33.452289)",2,,,,,,
253338364,149809096,0,447774594,True,San Francisco,secondary,188.134,"LINESTRING (-70.64674309999999 -33.45206, -70.64651619999999 -33.4537413)",2,,50,,,,
253338365,253338366,0,447774594,True,San Francisco,secondary,157.964,"LINESTRING (-70.6462902 -33.4548517, -70.6459473 -33.4562432)",2,,50,,,,
253338365,130071493,0,23401446,True,Copiapó,tertiary,232.309,"LINESTRING (-70.6462902 -33.4548517, -70.64610810000001 -33.4548186, -70.6459885 -33.4548043, -70.64590990000001 -33.4548006, -70.6458246 -33.4547951, -70.64567750000001 -33.4547762, -70.64383789999999 -33.4544379)",2,,,,,,
253338366,253359460,0,23401447,True,Coquimbo,residential,92.801,"LINESTRING (-70.6459473 -33.4562432, -70.6469171 -33.4564478)",,,50,,,,
253338366,6003937132,0,447774594,True,San Francisco,secondary,80.096,"LINESTRING (-70.6459473 -33.4562432, -70.6457784 -33.4569496)",2,,50,,,,
253338367,265679739,0,293727759,True,Porvenir,residential,49.091,"LINESTRING (-70.6456721 -33.4573722, -70.6456072 -33.4573507, -70.64515179999999 -33.4573006)",,,,,,,
