u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,junction,width,bridge,access,tunnel,ref,service,area
123497818,707940312,0,"[62120168, 682364120]",Boulevard de Charonne,cycleway,,True,701.4219999999999,"LINESTRING (2.3959136 48.8543083, 2.3959048 48.8542574, 2.3962607 48.8537961, 2.3962712 48.8537825, 2.3981415 48.8513748, 2.398184 48.8512779, 2.3982357 48.8511558, 2.3983558 48.850872, 2.3985532 48.8502658, 2.3986225 48.8500608, 2.3989982 48.8489056, 2.3991247 48.8487685, 2.3990737 48.8484888, 2.3991237 48.8484587)",,,,,,,,,
208906482,208918724,0,263358706,Boulevard Murat,secondary,50,True,140.318,"LINESTRING (2.2582683 48.8374113, 2.2584969 48.837354, 2.2588496 48.8373038, 2.2594267 48.8372156, 2.2594617 48.8372104, 2.2595867 48.8371916, 2.2597444 48.837168, 2.2597851 48.837162, 2.2601266 48.8371065)",2,,,,,,,,
209148461,209147808,0,765636906,Rue Charles Hermite,residential,30,True,465.77099999999996,"LINESTRING (2.3643457 48.8987811, 2.3648575 48.8989915, 2.3654146 48.8992205, 2.365564 48.8992819, 2.3656913 48.8993377, 2.365844 48.8994036, 2.3666919 48.8997718, 2.3673845 48.8997856, 2.3683978 48.8998059, 2.3692601 48.8998231, 2.3700988 48.8998398, 2.3702734 48.8998439)",,,,,,,,,
209148461,2354781583,0,197645000,,cycleway,,False,52.456999999999994,"LINESTRING (2.3643457 48.8987811, 2.3642024 48.8987195, 2.3641457 48.8986951, 2.364145 48.8986147, 2.3641509 48.8985117, 2.3641553 48.8984836, 2.3641591 48.8983807)",,,,,,,,,
209157796,268238167,0,"[582210707, 582210723, 582257563]",Boulevard Bessières,primary,50,True,344.009,"LINESTRING (2.3242343 48.8974487, 2.3244387 48.8974479, 2.324574 48.8974484, 2.3253245 48.8974603, 2.3253906 48.8974607, 2.3255556 48.8974641, 2.3257501 48.8974833, 2.3261545 48.897491, 2.3265576 48.8974997, 2.326776 48.8975029, 2.3277108 48.897518, 2.327961 48.8975194, 2.3285273 48.897526, 2.3289366 48.8975375)","['1', '2']",,,,,,,,
245401812,2597463114,0,172857784,Rue Corvisart,residential,30,True,11.606,"LINESTRING (2.3469587 48.8327385, 2.3470066 48.832639)",,,,,,,,,
245924632,21649682,0,299741410,Boulevard Arago,secondary,50,False,80.57300000000001,"LINESTRING (2.3495518 48.8360543, 2.3494683 48.8360271, 2.3489349 48.8358553, 2.3488668 48.8358334, 2.3485644 48.8357339)",,,,,,,,,
246144547,287541859,0,"[294799032, 664092568]",Boulevard Arago,secondary,30,False,159.899,"LINESTRING (2.3483187 48.8356578, 2.3481676 48.8356113, 2.3480346 48.8355722, 2.3479708 48.8355527, 2.347756 48.8354901, 2.3475117 48.8354109, 2.3466493 48.8351344, 2.3465798 48.8351121, 2.3463442 48.8350428)",,,,,,,,,
249662614,166334756,0,32082859,Rue de la Tombe Issoire,residential,30,True,33.752,"LINESTRING (2.3351811 48.8317885, 2.3353169 48.8320047, 2.3353577 48.8320689)",,,,,,,,,
256588304,151359040,0,"[49429434, 32008107]",Rue Jean-Pierre Timbaud,residential,30,True,409.60900000000004,"LINESTRING (2.3772862 48.8676518, 2.3772193 48.8676342, 2.3759776 48.8673107, 2.3759095 48.867293, 2.3758179 48.867269, 2.3753889 48.8671573, 2.3751105 48.8670848, 2.3745361 48.8669352, 2.3739412 48.8667802, 2.3736337 48.8667, 2.373501 48.8666653, 2.3733767 48.8666342, 2.3731523 48.866577, 2.3721711 48.8663162, 2.3720815 48.8662925)",,,,,,,,,
