u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,junction,ref,bridge,width,service,tunnel,access
361031,247352879,0,"[22956648, 22956670, 22956671]",Pont Morland,primary,50,False,125.55799999999999,"LINESTRING (2.365556 48.8474791, 2.3658167 48.847254, 2.3660289 48.8470984, 2.366178 48.8469718, 2.3664356 48.8467715, 2.3666168 48.8465932)",4,,,yes,,,,
361032,26588347,0,4527593,Rue Bassompierre,residential,30,True,62.155,"LINESTRING (2.3672854 48.8508902, 2.3671571 48.850916, 2.3665287 48.8510421, 2.3664729 48.8510533)",,,,,,,,
361032,26588366,0,56104231,Boulevard Bourdon,secondary,50,True,181.11599999999999,"LINESTRING (2.3672854 48.8508902, 2.3672647 48.8508458, 2.3666091 48.8494383, 2.3665859 48.8493885, 2.36656 48.8493329)",2,,,,,,,
361036,26588388,0,45180810,Boulevard de la Bastille,secondary,50,True,146.864,"LINESTRING (2.3679961 48.848785, 2.3681038 48.8490172, 2.3682517 48.8493437, 2.3685676 48.8500511)",2,,,,,,,
361041,25034117,0,2114249,Rue Monge,secondary,30,True,29.064,"LINESTRING (2.3507157 48.8385973, 2.3507225 48.8386616, 2.3507658 48.8387438, 2.3508122 48.8388494)",,,,,,,,
361041,2458010977,0,675813418,,tertiary_link,50,True,15.612000000000002,"LINESTRING (2.3507157 48.8385973, 2.3505983 48.8386344, 2.3505189 48.8386505)",,,,,,,,
361042,21659628,0,4081713,Rue du Petit Moine,residential,30,True,67.464,"LINESTRING (2.351 48.8380281, 2.3512088 48.8380754, 2.3517971 48.8382087, 2.3518716 48.8382256)",,,,,,,,
361042,1165949167,0,237932369,Avenue des Gobelins,secondary,50,True,52.956,"LINESTRING (2.351 48.8380281, 2.350825 48.8383613, 2.3508033 48.8384047, 2.350764 48.8384783)",,,,,,,,
361042,1142990090,0,"[25485138, 553237950]",Avenue des Gobelins,secondary,50,False,151.38199999999998,"LINESTRING (2.351 48.8380281, 2.3510453 48.837962, 2.3510807 48.8379101, 2.3515019 48.8372922, 2.3515191 48.8372669, 2.3517426 48.836958, 2.3518495 48.836787)",,,,,,,,
361043,1981095121,0,53799097,Avenue des Gobelins,secondary,50,False,44.585,"LINESTRING (2.3543465 48.8332121, 2.3546065 48.8328495)",,,,,,,,
361043,361753,0,48670610,Rue Coypel,residential,30,True,87.542,"LINESTRING (2.3543465 48.8332121, 2.3545087 48.8332115, 2.35544 48.8332084, 2.3555425 48.833208)",,,,,,,,
361043,21648029,0,53799097,Avenue des Gobelins,secondary,50,False,23.011,"LINESTRING (2.3543465 48.8332121, 2.3543009 48.8332746, 2.3542155 48.8334002)",,,,,,,,
361044,21647889,0,43904125,Boulevard de l'Hôpital,primary,50,False,10.109,"LINESTRING (2.3567612 48.8331727, 2.356823 48.833254)",,,,,,,,
361044,361753,0,3630707,Rue Coypel,residential,50,True,89.322,"LINESTRING (2.3567612 48.8331727, 2.3565854 48.8331856, 2.3555425 48.833208)",,,,,,,,
361044,361747,0,43904125,Boulevard de l'Hôpital,primary,50,False,45.237,"LINESTRING (2.3567612 48.8331727, 2.3565448 48.832882, 2.3564892 48.8328074)",,,,,,,,
361044,361748,0,48670609,Rue Édouard Manet,residential,50,True,166.493,"LINESTRING (2.3567612 48.8331727, 2.3569508 48.8331121, 2.3587211 48.8325388, 2.3588028 48.8325125)",,,,,,,,
361045,15859484,0,4018057,Rue Esquirol,residential,30,True,89.935,"LINESTRING (2.3592953 48.8365766, 2.3594283 48.836442, 2.3594676 48.8364, 2.3598361 48.8358524)",,,,,,,,
361045,21648333,0,4080699,Rue Jeanne d'Arc,residential,50,False,136.044,"LINESTRING (2.3592953 48.8365766, 2.3591394 48.836674, 2.3589337 48.8368317, 2.3581377 48.8374661, 2.358088 48.8375057)",,,,,,,,
