u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,est_width,bridge,access,width,tunnel,service,ref,junction
477367025,298815599,0,312219323,False,Avenida Mercedes,residential,163.028,"LINESTRING (-46.713228 -23.5276891, -46.7130468 -23.5291458)",,,,,,,,,,
485366883,293748925,0,"[26780552, 26780570]",True,"['Avenida Miguel Frias e Vasconcelos', 'Avenida Bolonha']",secondary,870.1610000000001,"LINESTRING (-46.7494247 -23.5480177, -46.7482743 -23.5481332, -46.7474711 -23.5482106, -46.7471596 -23.5482398, -46.746981 -23.5482603, -46.7468931 -23.5482775, -46.7467097 -23.5483172, -46.746679 -23.5483481, -46.7460898 -23.548699, -46.74472 -23.5495248, -46.7444461 -23.5497062, -46.7442899 -23.5498659, -46.7441765 -23.5500001, -46.7440904 -23.5501434, -46.7439805 -23.55033, -46.7438481 -23.5508036, -46.7434329 -23.5523264)",3,50,,,,,,,,
485366883,485366900,0,409837858,True,Praça Henrique Dumont Vilares,secondary,49.84,"LINESTRING (-46.7494247 -23.5480177, -46.7494154 -23.5479806, -46.7494142 -23.5479425, -46.749422 -23.5479033, -46.7494384 -23.5478664, -46.7494628 -23.5478335, -46.7494942 -23.5478059, -46.7495183 -23.5477911, -46.7495445 -23.5477796, -46.7495721 -23.5477715, -46.7496007 -23.547767, -46.7496296 -23.5477662, -46.7496585 -23.5477691, -46.7496866 -23.5477756, -46.7497134 -23.5477857)",,,,,,,,,,roundabout
485366897,293748911,0,40268666,False,Avenida Presidente Altino,secondary,356.12699999999995,"LINESTRING (-46.7495248 -23.548125, -46.7488022 -23.5495116, -46.7487501 -23.5496001, -46.7486647 -23.5498462, -46.7486382 -23.5499456, -46.7485737 -23.5501892, -46.7485895 -23.5503446, -46.7485977 -23.5504042, -46.7486039 -23.5504681, -46.7486942 -23.5511369)",,,,,,,,,,
485366897,485366883,0,409837858,True,Praça Henrique Dumont Vilares,secondary,16.041,"LINESTRING (-46.7495248 -23.548125, -46.7494818 -23.5480975, -46.7494477 -23.5480609, -46.7494247 -23.5480177)",,,,,,,,,,roundabout
485366900,485366897,0,40254259,True,Praça Henrique Dumont Vilares,secondary,66.94399999999999,"LINESTRING (-46.7497134 -23.5477857, -46.7497434 -23.5478023, -46.7497699 -23.5478233, -46.7497922 -23.5478481, -46.7498097 -23.547876, -46.7498218 -23.5479061, -46.7498281 -23.5479377, -46.7498277 -23.5479787, -46.7498178 -23.5480186, -46.7497988 -23.5480556, -46.7497716 -23.548088, -46.7497375 -23.5481144, -46.749698 -23.5481335, -46.7496549 -23.5481444, -46.7496104 -23.5481466, -46.7495663 -23.5481401, -46.7495248 -23.548125)",,,,,,,,,,roundabout
485366900,5316984711,0,"[337855360, 625295554, 550489506]",False,Avenida Presidente Altino,secondary,2100.5509999999995,"LINESTRING (-46.7497134 -23.5477857, -46.7501592 -23.5469267, -46.7505237 -23.5462424, -46.7506988 -23.5459051, -46.7508284 -23.5456556, -46.7509137 -23.5454933, -46.7515822 -23.5442203, -46.7519721 -23.5434678, -46.7520002 -23.5434149, -46.7521427 -23.5431469, -46.7523132 -23.5428232, -46.7526563 -23.5421593, -46.7527768 -23.5418838, -46.7528288 -23.5417651, -46.7528917 -23.5416411, -46.7541942 -23.5391313, -46.7542747 -23.5389678, -46.7548044 -23.537903, -46.7549559 -23.5376116, -46.7550909 -23.5372922, -46.7551781 -23.5370114, -46.7552188 -23.536821, -46.7552423 -23.5366452, -46.7552497 -23.5362813, -46.7552396 -23.5360808, -46.7552249 -23.5358724, -46.7551833 -23.5352888, -46.7551033 -23.5341668, -46.7550713 -23.5334601, -46.7550619 -23.5332836, -46.755027 -23.5324549, -46.755031 -23.5322932, -46.7550656 -23.5320849, -46.7551062 -23.5319477, -46.755194 -23.5318014, -46.7552966 -23.5316907, -46.7554673 -23.5315836, -46.7556909 -23.531486, -46.7559323 -23.53139, -46.7561895 -23.5313124, -46.7564224 -23.5312345, -46.7569109 -23.5310751)",2,"['50', '40']",,,,,,,,
485658598,3449150863,0,373983744,True,Avenida Corifeu de Azevedo Marques,primary,9.286,"LINESTRING (-46.7475987 -23.5590574, -46.7475477 -23.5591266)",2,50,,,,,,,,
485658598,1709245694,0,"[396326050, 454930213, 410759282, 251092437, 151583319, 40271231]",True,"['Avenida Escola Politécnica', 'Avenida Jaguaré']",trunk,179.253,"LINESTRING (-46.7475987 -23.5590574, -46.7474224 -23.5588858, -46.7473577 -23.5588556, -46.7471646 -23.5587723, -46.7466138 -23.5585141, -46.7462598 -23.5584945, -46.7461386 -23.5584878, -46.7460181 -23.5584949)","['4', '3', '2']",50,,,,,,,,
485658611,2077574624,0,40271226,True,Avenida Doutor Cândido Mota Filho,secondary,910.663,"LINESTRING (-46.7542759 -23.5570798, -46.7543749 -23.5570719, -46.7547132 -23.5571932, -46.7551077 -23.5573242, -46.7553847 -23.5574188, -46.7557282 -23.557534, -46.7561362 -23.5576671, -46.7564512 -23.5577811, -46.7568033 -23.5579018, -46.7570329 -23.5579861, -46.7579359 -23.5582907, -46.7584536 -23.5584758, -46.7587781 -23.5585784, -46.7592605 -23.5586913, -46.7595291 -23.5587109, -46.7597908 -23.5587038, -46.7601249 -23.5586769, -46.7603812 -23.5586411, -46.7605049 -23.5586224, -46.7607918 -23.5585604, -46.7610169 -23.5585126, -46.7613463 -23.5584114, -46.7616289 -23.5583033, -46.7617013 -23.5582589, -46.7617748 -23.5582137, -46.7619593 -23.5580794, -46.7620929 -23.5579562, -46.7621355 -23.5579198, -46.7622101 -23.55784, -46.7622499 -23.5577814, -46.7623253 -23.5576462, -46.7623511 -23.5575976, -46.7624129 -23.5574901)",,,,,,,,,,
485658611,4114915588,0,409598737,False,Avenida Doutor Cândido Mota Filho,secondary,447.073,"LINESTRING (-46.7542759 -23.5570798, -46.7538392 -23.5569378, -46.753769 -23.556919, -46.7537088 -23.5569027, -46.7535774 -23.5568868, -46.7534968 -23.5568793, -46.7534664 -23.5568766, -46.7534263 -23.5568756, -46.7531039 -23.5568721, -46.7530272 -23.5568777, -46.7525607 -23.5569158, -46.7521393 -23.5569554, -46.7499301 -23.5570445)",,,,,,,,,,
485658613,4114915588,0,40271225,True,Avenida Doutor Cândido Mota Filho,secondary,16.598,"LINESTRING (-46.7497692 -23.5570216, -46.7498432 -23.5570314, -46.7499301 -23.5570445)",,,,,,,,,,
485658613,485658598,0,"[155225411, 444216485, 444216488, 396644552, 409598734]",True,Avenida Corifeu de Azevedo Marques,primary,323.88100000000003,"LINESTRING (-46.7497692 -23.5570216, -46.7496064 -23.5571508, -46.7485772 -23.5577809, -46.7484619 -23.5578659, -46.7483948 -23.5579204, -46.74821 -23.5580764, -46.7481001 -23.5582119, -46.7480682 -23.5582528, -46.7479638 -23.5584606, -46.7478315 -23.5586492, -46.7475987 -23.5590574)","['4', '5', '3', '2']",50,,,,,,,,
