u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,access,lanes,service,tunnel,width
18222677,2584912558,0,8125076,False,Buskager,residential,30,42.392,"LINESTRING (12.4878318 55.6788685, 12.4877034 55.6792428)",,,,,
18222678,2584912565,0,38240872,False,Buskager,residential,30,8.214,"LINESTRING (12.4881858 55.6795268, 12.4882382 55.6794591)",,,,,
18222678,6162389054,0,38240872,False,Buskager,residential,30,5.187,"LINESTRING (12.4881858 55.6795268, 12.4881418 55.6795663)",,,,,
18222679,2584912565,0,38240872,False,Buskager,residential,30,42.103,"LINESTRING (12.4883653 55.6790873, 12.4882382 55.6794591)",,,,,
18222703,6162389060,0,8125077,False,Buskager,residential,30,24.483,"LINESTRING (12.486854 55.6793124, 12.4870804 55.679133)",,,,,
18222704,6162389058,0,8125079,False,Buskager,residential,30,24.689,"LINESTRING (12.4863215 55.6790859, 12.4865463 55.6789036)",,,,,
18222706,6162389054,0,38240872,False,Buskager,residential,30,25.257,"LINESTRING (12.4879274 55.6797586, 12.4881418 55.6795663)",,,,,
20908216,20908215,0,3991381,True,Folkets Alle,residential,30,64.41,"LINESTRING (12.5119512 55.676672, 12.5109489 55.676799)",,,,,
20908216,20908217,0,3991382,False,Folkets Alle,residential,30,43.847,"LINESTRING (12.5119512 55.676672, 12.5121008 55.6770572)",,,,,
20908217,7319029120,0,3991382,False,Folkets Alle,residential,30,42.366,"LINESTRING (12.5121008 55.6770572, 12.5122516 55.6774286)",,,,,
20908217,20908216,0,3991382,False,Folkets Alle,residential,30,43.847,"LINESTRING (12.5121008 55.6770572, 12.5119512 55.676672)",,,,,
20908217,20908236,0,3991383,False,Frihedsvej,residential,30,44.981,"LINESTRING (12.5121008 55.6770572, 12.5128002 55.6769671)",,,,,
20908218,20908219,0,3991382,False,Folkets Alle,residential,30,67.436,"LINESTRING (12.5123362 55.6776599, 12.512554 55.6782538)",,,,,
20908218,7319029120,0,3991382,False,Folkets Alle,residential,30,26.261,"LINESTRING (12.5123362 55.6776599, 12.5122516 55.6774286)",,,,,
20908218,20908235,0,3991384,False,Lighedsvej,residential,30,72.81,"LINESTRING (12.5123362 55.6776599, 12.5134683 55.677514)",,,,,
20908219,1646156757,0,3991382,False,Folkets Alle,residential,30,53.887,"LINESTRING (12.512554 55.6782538, 12.5127526 55.6787253)",,,,,
20908219,20908218,0,3991382,False,Folkets Alle,residential,30,67.436,"LINESTRING (12.512554 55.6782538, 12.5123362 55.6776599)",,,,,
20908219,20908220,0,3991385,False,Broderskabsvej,residential,30,105.995,"LINESTRING (12.512554 55.6782538, 12.5142019 55.6780409)",,,,,
20908220,1611954911,0,3991385,False,Broderskabsvej,residential,30,75.229,"LINESTRING (12.5142019 55.6780409, 12.514468 55.6787006)",,,,,
20908220,20908219,0,3991385,False,Broderskabsvej,residential,30,105.995,"LINESTRING (12.5142019 55.6780409, 12.512554 55.6782538)",,,,,
20908225,1646156757,0,3991382,False,Folkets Alle,residential,30,22.252,"LINESTRING (12.5128346 55.67892, 12.5127526 55.6787253)",,,,,
20908226,1611954911,0,3991385,False,Broderskabsvej,residential,30,31.758,"LINESTRING (12.5145856 55.6789784, 12.514468 55.6787006)",,,,,
20908233,1129496652,0,3991381,True,Folkets Alle,residential,30,42.74,"LINESTRING (12.5109222 55.6767213, 12.5115863 55.6766346)",,,,,
20908234,20908216,0,3991381,True,Folkets Alle,residential,30,8.924,"LINESTRING (12.5119208 55.6765936, 12.5119512 55.676672)",,,,,
20908235,20908218,0,3991384,False,Lighedsvej,residential,30,72.81,"LINESTRING (12.5134683 55.677514, 12.5123362 55.6776599)",,,,,
