u,v,key,osmid,highway,oneway,length,geometry,bridge,name,maxspeed,service,lanes,access,width
6769303595,6769303594,0,208636990,unclassified,False,3.892,"LINESTRING (-6.8639505 33.9812147, -6.8639298 33.9812452)",,Accès principal,20,,1,,
6769303595,6769303596,0,208636990,unclassified,False,6.964,"LINESTRING (-6.8639505 33.9812147, -6.8639915 33.9811621)",,Accès principal,20,,1,,
6769303596,6769303595,0,208636990,unclassified,False,6.964,"LINESTRING (-6.8639915 33.9811621, -6.8639505 33.9812147)",,Accès principal,20,,1,,
6769303596,2189092203,0,208636990,unclassified,False,5.503,"LINESTRING (-6.8639915 33.9811621, -6.8640284 33.9811232)",,Accès principal,20,,1,,
6769320229,2189092297,0,208636990,unclassified,False,12.975,"LINESTRING (-6.8645239 33.9805316, -6.8644562 33.9806339)",,Accès principal,20,,1,,
6769320229,2189092321,0,208636990,unclassified,False,10.704,"LINESTRING (-6.8645239 33.9805316, -6.8645795 33.9804471)",,Accès principal,20,,1,,
6769436481,6769436483,0,240002999,residential,True,6.383,"LINESTRING (-6.8852118 33.9574304, -6.8852644 33.9573931)",,,30,,1,destination,
6769436482,6769436481,0,240002999,residential,True,6.524,"LINESTRING (-6.8851578 33.9574683, -6.8852118 33.9574304)",,,30,,1,destination,
6769436483,6775201990,0,240002999,residential,True,11.038,"LINESTRING (-6.8852644 33.9573931, -6.8853526 33.957326)",,,30,,1,destination,
6769481194,6769481219,0,721631637,pedestrian,False,40.91,"LINESTRING (-6.8665181 33.9770129, -6.8667501 33.9773265)",,veto_route,20,,,,
6769481194,6769481208,0,721631637,pedestrian,False,19.579,"LINESTRING (-6.8665181 33.9770129, -6.8664095 33.9768616)",,veto_route,20,,,,
6769481195,6769481196,0,721631637,pedestrian,False,40.018,"LINESTRING (-6.8679249 33.974783, -6.8676527 33.9750633)",,veto_route,20,,,,
6769481195,6757497151,0,721631637,pedestrian,False,53.975,"LINESTRING (-6.8679249 33.974783, -6.8682817 33.9743982)",,veto_route,20,,,,
6769481196,6769481207,0,721631637,pedestrian,False,31.294,"LINESTRING (-6.8676527 33.9750633, -6.8674388 33.9752818)",,veto_route,20,,,,
6769481196,6769481195,0,721631637,pedestrian,False,40.018,"LINESTRING (-6.8676527 33.9750633, -6.8679249 33.974783)",,veto_route,20,,,,
6769481197,6769481215,0,721631637,pedestrian,False,12.309,"LINESTRING (-6.8669312 33.9759341, -6.8668467 33.9760198)",,veto_route,20,,,,
6769481197,6769481216,0,721631637,pedestrian,False,17.438,"LINESTRING (-6.8669312 33.9759341, -6.8670559 33.9758162)",,veto_route,20,,,,
6769481198,6769481216,0,721631637,pedestrian,False,15.157,"LINESTRING (-6.8671565 33.9757084, -6.8670559 33.9758162)",,veto_route,20,,,,
6769481198,6769481203,0,721631637,pedestrian,False,12.618,"LINESTRING (-6.8671565 33.9757084, -6.8672477 33.9756238)",,veto_route,20,,,,
6769481199,6769481202,0,721631637,pedestrian,False,2.985,"LINESTRING (-6.8672685 33.9755688, -6.8672651 33.9755955)",,veto_route,20,,,,
6769481199,6769481201,0,721631637,pedestrian,False,2.728,"LINESTRING (-6.8672685 33.9755688, -6.8672618 33.9755449)",,veto_route,20,,,,
6769481200,6769481201,0,721631637,pedestrian,False,4.098,"LINESTRING (-6.8672577 33.9755082, -6.8672618 33.9755449)",,veto_route,20,,,,
6769481200,6769481204,0,721631637,pedestrian,False,3.111,"LINESTRING (-6.8672577 33.9755082, -6.8672651 33.9754809)",,veto_route,20,,,,
6769481201,6769481199,0,721631637,pedestrian,False,2.728,"LINESTRING (-6.8672618 33.9755449, -6.8672685 33.9755688)",,veto_route,20,,,,
6769481201,6769481200,0,721631637,pedestrian,False,4.098,"LINESTRING (-6.8672618 33.9755449, -6.8672577 33.9755082)",,veto_route,20,,,,
6769481202,6769481203,0,721631637,pedestrian,False,3.532,"LINESTRING (-6.8672651 33.9755955, -6.8672477 33.9756238)",,veto_route,20,,,,
6769481202,6769481199,0,721631637,pedestrian,False,2.985,"LINESTRING (-6.8672651 33.9755955, -6.8672685 33.9755688)",,veto_route,20,,,,
6769481203,6769481198,0,721631637,pedestrian,False,12.618,"LINESTRING (-6.8672477 33.9756238, -6.8671565 33.9757084)",,veto_route,20,,,,
