u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,bridge,access,width,tunnel,area,junction,service
375478830,283255672,0,89890418,True,2,Calle 74,tertiary,204.93,"LINESTRING (-74.0636392 4.6632267, -74.0628565 4.6627212, -74.0624577 4.6624677, -74.0620887 4.6622226)",30,,,,,,,
498602117,498602113,0,89874989,False,2,Calle 65,residential,100.835,"LINESTRING (-74.0661738 4.6531593, -74.0669824 4.653575)",30,,,,,,,
498602117,498602475,0,89875139,False,2,Calle 65,residential,60.833,"LINESTRING (-74.0661738 4.6531593, -74.0656341 4.6530596)",30,,,,,,,
498602117,310666620,0,89759450,True,2,Carrera 16,residential,112.33599999999998,"LINESTRING (-74.0661738 4.6531593, -74.066075 4.6537171, -74.06600709999999 4.6540617, -74.0659629 4.6541432)",30,,,,,,,
498602498,283342319,0,89874985,True,1,Calle 64,tertiary,65.536,"LINESTRING (-74.06576800000001 4.6522776, -74.0662698 4.6525894)",30,,,,,,,
498602498,498602475,0,40936953,False,2,Carrera 15A,residential,88.212,"LINESTRING (-74.06576800000001 4.6522776, -74.0656341 4.6530596)",30,,,,,,,
678456328,263369042,0,675547578,True,2,Calle 61,tertiary,69.382,"LINESTRING (-74.06918760000001 4.6486505, -74.0685723 4.6485355)",30,,,,,,,
968370526,968370600,0,734633051,True,4,Calle 76,tertiary,12.099,"LINESTRING (-74.0632708 4.6655106, -74.0633612 4.6655716)",30,,,,,,,
968370526,7085206311,0,89889925,False,2,Carrera 20C Bis,residential,4.273,"LINESTRING (-74.0632708 4.6655106, -74.06324960000001 4.6655427)",30,,,,,,,
968370600,354855989,0,734633051,True,4,Calle 76,tertiary,14.042,"LINESTRING (-74.0633612 4.6655716, -74.06346910000001 4.6656378)",30,,,,,,,
968370600,354855990,0,89890198,False,2,Carrera 22,residential,111.83699999999999,"LINESTRING (-74.0633612 4.6655716, -74.06362919999999 4.6651524, -74.0638928 4.6647168)",30,,,,,,,
1039801525,264154300,0,89725265,False,3,Calle 39,residential,79.482,"LINESTRING (-74.07301320000001 4.6274371, -74.073724 4.6275319)",,,,,,,,
1039801525,1039801519,0,89725309,True,2,Carrera 19,tertiary,233.33299999999997,"LINESTRING (-74.07301320000001 4.6274371, -74.0732375 4.626194, -74.07339229999999 4.625373)",30,,,,,,,
1041714598,1041714652,0,24690430,True,2,Carrera 19A,residential,86.107,"LINESTRING (-74.06918020000001 4.6523337, -74.0693163 4.6515713)",30,,,,,,,
1041714598,1041714673,0,89874912,False,2,Calle 63B,residential,59.446,"LINESTRING (-74.06918020000001 4.6523337, -74.0686524 4.6522385)",30,,,,,,,
1041714598,1041714548,0,89874912,False,2,Calle 63B,residential,60.639,"LINESTRING (-74.06918020000001 4.6523337, -74.0697186 4.6524308)",30,,,,,,,
