u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,access,bridge,junction,area,service,width,tunnel
331622431,317803804,0,89986975,False,2,Calle 2B,residential,30,138.064,"LINESTRING (-74.1091464 4.6077816, -74.1095402 4.6080775, -74.1099389 4.6083467, -74.11016619999999 4.6084937)",,,,,,,
331622431,317803813,0,89986975,False,2,Calle 2B,residential,30,100.477,"LINESTRING (-74.1091464 4.6077816, -74.10866110000001 4.6074434, -74.1084117 4.6072526)",,,,,,,
331624072,331622217,0,89986994,False,2,Carrera 37B,residential,30,52.109,"LINESTRING (-74.1102927 4.6062711, -74.1100144 4.6066488)",,,,,,,
331624072,1043185051,0,89986994,False,2,Carrera 37B,residential,30,72.153,"LINESTRING (-74.1102927 4.6062711, -74.1106779 4.605748)",,,,,,,
331624072,1043185051,1,"[30103936, 89986664, 30103935]",False,2,"['Calle 1D Bis', 'Calle 1G', 'Carrera 37C']",residential,30,169.04899999999998,"LINESTRING (-74.1102927 4.6062711, -74.1106025 4.6065085, -74.1106612 4.6065236, -74.1107097 4.6064975, -74.11098730000001 4.6061193, -74.11100949999999 4.6060891, -74.11102200000001 4.6060332, -74.1110049 4.6059909, -74.1106779 4.605748)",,,,,,,
331624201,331624362,0,89986804,False,2,Calle 2A,residential,30,48.903,"LINESTRING (-74.10907330000001 4.6071493, -74.1094208 4.6074203)",,,,,,,
331624201,331624279,0,89986804,False,2,Calle 2A,residential,30,53.292,"LINESTRING (-74.10907330000001 4.6071493, -74.1086877 4.606863)",,,,,,,
331624201,5241644092,0,89986951,False,2,Carrera 37A,residential,30,107.27000000000001,"LINESTRING (-74.10907330000001 4.6071493, -74.1093308 4.6068026, -74.1096491 4.6063739)",,,,,,,
331624203,331620751,0,89986664,False,2,Calle 1D Bis,residential,30,53.041,"LINESTRING (-74.1103112 4.6054919, -74.109927 4.6052075)",,,,,,,
331624203,1043185051,0,89986664,False,2,Calle 1D Bis,residential,30,49.627,"LINESTRING (-74.1103112 4.6054919, -74.1106779 4.605748)",,,,,,,
331624203,5241644092,0,89986951,False,2,Carrera 37A,residential,30,122.49,"LINESTRING (-74.1103112 4.6054919, -74.1096491 4.6063739)",,,,,,,
331624279,317803813,0,28912447,False,2,Carrera 37,residential,30,53.033,"LINESTRING (-74.1086877 4.606863, -74.1084117 4.6072526)",,,,,,,
331624279,331624201,0,89986804,False,2,Calle 2A,residential,30,53.292,"LINESTRING (-74.1086877 4.606863, -74.10907330000001 4.6071493)",,,,,,,
331624279,310983167,0,28912447,False,2,Carrera 37,residential,30,107.59200000000001,"LINESTRING (-74.1086877 4.606863, -74.10891100000001 4.6065625, -74.1092654 4.6060854)",,,,,,,
331624362,331624201,0,89986804,False,2,Calle 2A,residential,30,48.903,"LINESTRING (-74.1094208 4.6074203, -74.10907330000001 4.6071493)",,,,,,,
331624362,331622431,0,89986994,False,2,Carrera 37B,residential,30,50.388,"LINESTRING (-74.1094208 4.6074203, -74.1091464 4.6077816)",,,,,,,
331624362,331622217,0,89986994,False,2,Carrera 37B,residential,30,108.138,"LINESTRING (-74.1094208 4.6074203, -74.10971290000001 4.6070586, -74.1097548 4.6070017, -74.1100144 4.6066488)",,,,,,,
331634305,310983373,0,30104342,False,2,Carrera 39,residential,30,79.415,"LINESTRING (-74.1119868 4.6086805, -74.1115202 4.6092225)",,,,,,,
331634568,331613202,0,89986990,False,2,Calle 1B,residential,30,47.995,"LINESTRING (-74.1137633 4.6063247, -74.1141137 4.6065783)",,,,,,,
331634574,331634576,0,89986990,False,2,Calle 1B,residential,30,115.77,"LINESTRING (-74.1153992 4.6075085, -74.11520969999999 4.6073713, -74.11496339999999 4.607193, -74.1145539 4.6068969)",,,,,,,
331634576,311255737,0,28912623,False,2,Carrera 40,residential,30,57.286,"LINESTRING (-74.1145539 4.6068969, -74.1142412 4.6073071)",,,,,,,
331634576,331613202,0,89986990,False,2,Calle 1B,residential,30,60.295,"LINESTRING (-74.1145539 4.6068969, -74.1141137 4.6065783)",,,,,,,
331634576,261993768,0,"[89986854, 28912623]",False,2,Carrera 40,"['tertiary', 'residential']",30,139.317,"LINESTRING (-74.1145539 4.6068969, -74.11476500000001 4.6066199, -74.1149542 4.6063545, -74.1152457 4.6059624, -74.1152996 4.6058884)",,,,,,,
331634576,331634574,0,89986990,False,2,Calle 1B,residential,30,115.77000000000001,"LINESTRING (-74.1145539 4.6068969, -74.11496339999999 4.607193, -74.11520969999999 4.6073713, -74.1153992 4.6075085)",,,,,,,
331636913,331637027,0,36767555,False,2,Carrera 40C,residential,30,200.17700000000002,"LINESTRING (-74.11519819999999 4.6085659, -74.1154748 4.608191, -74.116269 4.6071162)",,,,,,,
331637027,331636913,0,36767555,False,2,Carrera 40C,residential,30,200.17700000000002,"LINESTRING (-74.116269 4.6071162, -74.1154748 4.608191, -74.11519819999999 4.6085659)",,,,,,,
331637184,331637190,0,89987480,False,2,Carrera 42,residential,20,248.614,"LINESTRING (-74.1179109 4.6074514, -74.1176677 4.6078934, -74.11728599999999 4.6085835, -74.1170652 4.6089834, -74.1168296 4.6094103)",,,,,,,
331637190,331637184,0,89987480,False,2,Carrera 42,residential,20,248.614,"LINESTRING (-74.1168296 4.6094103, -74.1170652 4.6089834, -74.11728599999999 4.6085835, -74.1176677 4.6078934, -74.1179109 4.6074514)",,,,,,,
331637386,332711495,0,30104514,False,2,Calle 1B,residential,30,55.586,"LINESTRING (-74.1197231 4.6127515, -74.1195479 4.6122831)",,,,,,,
331637386,308858815,0,89993625,False,2,Transversal 53,tertiary,30,70.615,"LINESTRING (-74.1197231 4.6127515, -74.11912719999999 4.6129762)",,,,,,,
331637386,308858813,0,89993625,False,2,Transversal 53,tertiary,30,213.272,"LINESTRING (-74.1197231 4.6127515, -74.121521 4.612068)",,,,,,,
331637387,332711495,0,30104514,False,2,Calle 1B,residential,30,50.786,"LINESTRING (-74.1193845 4.6118564, -74.1195479 4.6122831)",,,,,,,
331637387,331637698,0,89993365,False,2,Transversal 52B,residential,30,165.371,"LINESTRING (-74.1193845 4.6118564, -74.1179918 4.61239)",,,,,,,
331637387,332711312,0,30104514,False,2,Calle 1B,residential,30,50.991,"LINESTRING (-74.1193845 4.6118564, -74.1192836 4.6116241, -74.1191974 4.6114375)",,,,,,,
331637387,332710265,0,89993365,False,2,Transversal 52B,residential,30,153.448,"LINESTRING (-74.1193845 4.6118564, -74.1202816 4.6115008, -74.1206739 4.611354)",,,,,,,
331637388,5241854449,0,30104514,False,2,Calle 1B,residential,30,112.994,"LINESTRING (-74.1186654 4.6102857, -74.1182383 4.609363)",,,,,,,
331637388,332711312,0,30104514,False,2,Calle 1B,residential,30,140.99599999999998,"LINESTRING (-74.1186654 4.6102857, -74.1188688 4.6107261, -74.1191974 4.6114375)",,,,,,,
331637388,332710268,0,"[177076323, 89993566]",False,2,Transversal 52,tertiary,30,152.787,"LINESTRING (-74.1186654 4.6102857, -74.1190943 4.6101223, -74.119513 4.6099452, -74.119935 4.6097517)",,,,,,,
331637388,5960122707,0,177076323,False,2,Transversal 52,tertiary,30,156.556,"LINESTRING (-74.1186654 4.6102857, -74.1182582 4.6104808, -74.11749450000001 4.6108396, -74.1173876 4.6108856)",,,,,,,
331637431,331637698,0,"[30104516, 89993302]",False,2,"['Calle 2 Bis', 'Transversal 52A']",residential,30,201.874,"LINESTRING (-74.11656120000001 4.6123782, -74.1177443 4.6119353, -74.1177929 4.611931, -74.11781999999999 4.6119462, -74.1178436 4.6119894, -74.1179918 4.61239)",,,,,,,
331637431,5960122707,0,"[177076323, 89993677]",False,2,"['Transversal 52', 'Carrera 51']","['tertiary', 'residential']",30,192.22899999999998,"LINESTRING (-74.11656120000001 4.6123782, -74.1166892 4.6121203, -74.1169886 4.611497, -74.11733700000001 4.6108904, -74.1173632 4.6108908, -74.1173876 4.6108856)",,,,,,,
331637431,331637699,0,"[89993466, 813948006]",False,2,Diagonal 2B,residential,30,74.819,"LINESTRING (-74.11656120000001 4.6123782, -74.11637260000001 4.6127751, -74.1163672 4.6128192, -74.11637140000001 4.6128734, -74.11641950000001 4.6129995)",,,,,,,
331637698,1043282374,0,30104516,False,2,Calle 2 Bis,residential,30,51.065,"LINESTRING (-74.1179918 4.61239, -74.1181514 4.6128208)",,,,,,,
331637698,331637699,0,89993365,False,2,Transversal 52B,residential,30,186.981,"LINESTRING (-74.1179918 4.61239, -74.11641950000001 4.6129995)",,,,,,,
331637698,331637387,0,89993365,False,2,Transversal 52B,residential,30,165.371,"LINESTRING (-74.1179918 4.61239, -74.1193845 4.6118564)",,,,,,,
