u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,tunnel,junction,lanes,est_width,service,ref,area,landuse
1963437141,285508379,0,"[38438265, 118606500, 577553285, 281018021]","['Dollardpad', 'Baanakkerspad', 'Buikslotermeerplein']",cycleway,,False,136.379,"LINESTRING (4.9421175 52.3980919, 4.9421615 52.3980721, 4.9424039 52.3979704, 4.9432863 52.3976074, 4.9435387 52.3975095, 4.9436247 52.3974783, 4.9437891 52.3974111)",,"['3.60', '3.50']",,,,,,,,,
1963437141,632498917,0,"[577553285, 807668606]",Buikslotermeerplein,cycleway,,False,208.313,"LINESTRING (4.9421175 52.3980919, 4.9420098 52.3981405, 4.9412745 52.3984382, 4.940756 52.3986482, 4.9404191 52.3987902, 4.9399092 52.3990042, 4.9395713 52.3991385)",,3.60,,,,,,,,,
1963461630,46502016,0,185695872,,cycleway,,False,9.814,"LINESTRING (4.9430879 52.3990119, 4.9429588 52.3990517)",,,,,,,,,,,
1963461630,1963461634,0,"[185692664, 471654561, 471654556]","['Slufter', 'Savelsbos']",cycleway,,False,118.07,"LINESTRING (4.9430879 52.3990119, 4.9437371 52.3995947, 4.9439023 52.399743, 4.9440661 52.3998901)",,,,yes,,,,,,,
1963461630,2027044402,0,185692664,Slufter,cycleway,,False,53.051,"LINESTRING (4.9430879 52.3990119, 4.9428554 52.398783, 4.9426677 52.3986096)",,,,,,,,,,,
1963461634,1963461630,0,"[185692664, 471654561, 471654556]","['Slufter', 'Savelsbos']",cycleway,,False,118.07,"LINESTRING (4.9440661 52.3998901, 4.9439023 52.399743, 4.9437371 52.3995947, 4.9430879 52.3990119)",,,,yes,,,,,,,
1963517956,2023907325,0,118605665,,cycleway,,False,228.42299999999997,"LINESTRING (4.9482792 52.3991077, 4.9476573 52.3984898, 4.9473583 52.398123, 4.9468763 52.3975887, 4.9466885 52.3973683, 4.9466489 52.3973121)",,3.50,,,,,,,,,
1963517956,285508360,0,118605665,,cycleway,,False,140.32600000000002,"LINESTRING (4.9482792 52.3991077, 4.9493377 52.4000786, 4.9494236 52.4001589)",,3.50,,,,,,,,,
1963517956,46503274,0,"[185698073, 185698074, 185698075]",,cycleway,,False,77.618,"LINESTRING (4.9482792 52.3991077, 4.9482169 52.3991285, 4.9477391 52.3993164, 4.9476269 52.3993605, 4.9473149 52.3994831)",yes,,,,,,,,,,
1971498334,1741994892,0,186449220,,cycleway,,False,28.16,"LINESTRING (4.7912274 52.356804, 4.7913517 52.3565624)",,2.50,,,,,,,,,
1971498334,1971498407,0,186449240,,cycleway,,False,21.18,"LINESTRING (4.7912274 52.356804, 4.7909392 52.3568768)",,2.50,,,,,,,,,
1971498334,1971498419,0,186449240,,cycleway,,False,12.058,"LINESTRING (4.7912274 52.356804, 4.7913972 52.3568357)",,2.50,,,,,,,,,
1971498407,1971498334,0,186449240,,cycleway,,False,21.18,"LINESTRING (4.7909392 52.3568768, 4.7912274 52.356804)",,2.50,,,,,,,,,
1971498407,6109165027,0,589507259,Baden Powellweg,cycleway,,True,166.87300000000002,"LINESTRING (4.7909392 52.3568768, 4.7903466 52.3579943, 4.7901732 52.3583027)",,2.50,,,,,,,,,
1971498419,1971498334,0,186449240,,cycleway,,False,12.058,"LINESTRING (4.7913972 52.3568357, 4.7912274 52.356804)",,2.50,,,,,,,,,
1974933553,46441227,0,185676548,,cycleway,,False,8.127,"LINESTRING (4.9115903 52.3831303, 4.9116151 52.3832018)",,,,,,,,,,,
1974933553,308114575,0,21817548,,cycleway,,True,319.27600000000007,"LINESTRING (4.9115903 52.3831303, 4.9120217 52.383064, 4.9123951 52.3830326, 4.9129141 52.3829889, 4.91326 52.3829797, 4.9136975 52.3830113, 4.9140758 52.3830528, 4.9145065 52.3831362, 4.9145664 52.3831528, 4.9149853 52.3832686, 4.9153191 52.3833861, 4.9156421 52.3835322, 4.9159666 52.3836973)",,2.30,,,,,,,,,
1974935638,2069992048,0,196703544,,cycleway,,False,4.831,"LINESTRING (4.8507391 52.3848666, 4.8507243 52.3849091)",,3.30,,,,,,,,,
1976729875,2338715786,0,289208617,Jan van Zutphenstraat,cycleway,,False,14.144,"LINESTRING (4.8023857 52.3507522, 4.8025838 52.3507914)",,,,,,,,,,,
1976729888,1606461196,0,147416898,,cycleway,,True,28.697000000000003,"LINESTRING (4.8002773 52.3519672, 4.8002884 52.3520121, 4.8002761 52.3520333, 4.8002526 52.3520738, 4.8002334 52.3521068, 4.8002049 52.3521559, 4.8001668 52.3522113)",,2.50,,,,,,,,,
1976729888,763527299,0,186925399,,cycleway,,True,108.531,"LINESTRING (4.8002773 52.3519672, 4.8003857 52.3519887, 4.8015529 52.3522363, 4.8017226 52.3522644, 4.8017907 52.3522797)",,2.50,,,,,,,,,
1976785320,1435173814,0,548750529,,cycleway,,True,24.014,"LINESTRING (4.8683145 52.3466352, 4.8682312 52.3466541, 4.8681097 52.3466755, 4.8679782 52.3467015)",,3.00,,,,,,,,,
1976785460,1324794260,0,117632496,,cycleway,,True,7.769,"LINESTRING (4.8766037 52.3468084, 4.8767122 52.3467863)",,3.00,,,,,,,,,
