u,v,key,osmid,oneway,name,highway,length,geometry,bridge,tunnel,service,maxspeed,lanes,ref
5735502273,5735502272,0,612940713,False,,pedestrian,20.066,"LINESTRING (101.5184918 3.0788867, 101.5183201 3.0788304)",,,,,,
5735502274,6183107309,0,612940713,False,,pedestrian,51.513,"LINESTRING (101.5190604 3.079117, 101.5194642 3.0793451)",,,,,,
5735502274,5735502273,0,612940713,False,,pedestrian,68.13,"LINESTRING (101.5190604 3.079117, 101.5184918 3.0788867)",,,,,,
5735556551,5735556560,0,612940713,False,,pedestrian,2.443,"LINESTRING (101.5156503 3.0872528, 101.5156285 3.0872498)",,,,,,
5735556551,5735556559,0,612940713,False,,pedestrian,6.769,"LINESTRING (101.5156503 3.0872528, 101.5157077 3.0872323)",,,,,,
5735556552,5735569727,0,612940713,False,,pedestrian,7.53,"LINESTRING (101.5122879 3.0844496, 101.5122441 3.0843979)",,,,,,
5735556552,5735556553,0,612940713,False,,pedestrian,30.669,"LINESTRING (101.5122879 3.0844496, 101.5124635 3.0846625)",,,,,,
5735556553,5735556552,0,612940713,False,,pedestrian,30.669,"LINESTRING (101.5124635 3.0846625, 101.5122879 3.0844496)",,,,,,
5735556553,5735556554,0,612940713,False,,pedestrian,56.723,"LINESTRING (101.5124635 3.0846625, 101.5127546 3.0850817)",,,,,,
5735556554,5735556553,0,612940713,False,,pedestrian,56.723,"LINESTRING (101.5127546 3.0850817, 101.5124635 3.0846625)",,,,,,
5735556554,5735556555,0,612940713,False,,pedestrian,58.034,"LINESTRING (101.5127546 3.0850817, 101.513055 3.0855088)",,,,,,
5735556555,5735556554,0,612940713,False,,pedestrian,58.034,"LINESTRING (101.513055 3.0855088, 101.5127546 3.0850817)",,,,,,
5735556555,5735556577,0,612940713,False,,pedestrian,60.435,"LINESTRING (101.513055 3.0855088, 101.5133524 3.085964)",,,,,,
5735556556,5735556557,0,612940713,False,,pedestrian,21.6,"LINESTRING (101.5163487 3.0868413, 101.5161864 3.0869484)",,,,,,
5735556556,5735567210,0,612940713,False,,pedestrian,38.682,"LINESTRING (101.5163487 3.0868413, 101.5166281 3.0866335)",,,,,,
5735556557,5735556558,0,612940713,False,,pedestrian,33.207,"LINESTRING (101.5161864 3.0869484, 101.5159263 3.0870958)",,,,,,
5735556557,5735556556,0,612940713,False,,pedestrian,21.6,"LINESTRING (101.5161864 3.0869484, 101.5163487 3.0868413)",,,,,,
5735556558,5735556559,0,612940713,False,,pedestrian,28.627,"LINESTRING (101.5159263 3.0870958, 101.5157077 3.0872323)",,,,,,
5735556558,5735556557,0,612940713,False,,pedestrian,33.207,"LINESTRING (101.5159263 3.0870958, 101.5161864 3.0869484)",,,,,,
5735556559,5735556551,0,612940713,False,,pedestrian,6.769,"LINESTRING (101.5157077 3.0872323, 101.5156503 3.0872528)",,,,,,
5735556559,5735556558,0,612940713,False,,pedestrian,28.627,"LINESTRING (101.5157077 3.0872323, 101.5159263 3.0870958)",,,,,,
5735556560,5735556561,0,612940713,False,,pedestrian,12.51,"LINESTRING (101.5156285 3.0872498, 101.5155159 3.0872538)",,,,,,
5735556560,5735556551,0,612940713,False,,pedestrian,2.443,"LINESTRING (101.5156285 3.0872498, 101.5156503 3.0872528)",,,,,,
5735556561,5735556562,0,612940713,False,,pedestrian,28.731,"LINESTRING (101.5155159 3.0872538, 101.5152946 3.0873877)",,,,,,
5735556561,5735556560,0,612940713,False,,pedestrian,12.51,"LINESTRING (101.5155159 3.0872538, 101.5156285 3.0872498)",,,,,,
5735556562,5735556563,0,612940713,False,,pedestrian,20.636,"LINESTRING (101.5152946 3.0873877, 101.515135 3.0874828)",,,,,,
