u,v,key,osmid,oneway,name,highway,length,geometry,tunnel,bridge,service,maxspeed,lanes,ref
4897863943,4897863944,0,498339338,True,,cycleway,18.425,"LINESTRING (101.5409308 3.0702576, 101.5410484 3.0703745)",,,,,,
4897863944,4897863942,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,848.7049999999999,"LINESTRING (101.5410484 3.0703745, 101.5416048 3.070567, 101.5422146 3.0708167, 101.542859 3.0710846, 101.5432615 3.071243, 101.5435887 3.0713587, 101.5454141 3.0721361, 101.5468127 3.0727572, 101.5472878 3.0729784, 101.5474963 3.0730617, 101.5481134 3.0732778)",,,,,,
4897863946,4897863947,0,498339343,True,,cycleway,25.813,"LINESTRING (101.5366785 3.0686162, 101.5369108 3.0686251)",,,,,,
4897863946,4897863944,0,"[498339337, 498339339, 498339340, 498339341, 498339342]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,543.5300000000001,"LINESTRING (101.5366785 3.0686162, 101.5370027 3.0687747, 101.53721 3.0689087, 101.5373808 3.0690832, 101.5375515 3.0692781, 101.5376247 3.0693796, 101.5376816 3.0694283, 101.5378239 3.0694973, 101.5380974 3.0695855, 101.5382142 3.0696232, 101.5389216 3.0699033, 101.5392184 3.0700373, 101.5396005 3.0702484, 101.5397347 3.0703093, 101.5399176 3.0703377, 101.5401494 3.0703174, 101.5404746 3.0702443, 101.5406047 3.0702443, 101.5408364 3.0703011, 101.5410484 3.0703745)",yes,,,,,
4898439111,4898439112,0,498405111,True,,cycleway,19.445,"LINESTRING (101.5532245 3.0748885, 101.5533845 3.0748174)",,,,,,
4898439111,4896261363,0,"[160219264, 160219265, 297010920, 297010921, 160219261]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,501.041,"LINESTRING (101.5532245 3.0748885, 101.5533463 3.0749643, 101.5534468 3.07505, 101.5535274 3.0751531, 101.5536158 3.0753125, 101.5537134 3.0754162, 101.5538297 3.0754839, 101.553939 3.0755133, 101.5545958 3.075705, 101.5547636 3.0757371, 101.5548896 3.0757687, 101.5549808 3.0757906, 101.5551685 3.0758285, 101.555726 3.0758983, 101.556105 3.0759409, 101.5569617 3.0759435, 101.5573328 3.0759352, 101.5574243 3.0759345)",yes,yes,,,,
5267845033,5267845031,0,"[545001704, 545001701, 498339317]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,419.31299999999993,"LINESTRING (101.4840939 3.0609373, 101.4838557 3.0608622, 101.4835258 3.0607658, 101.4833863 3.0607363, 101.4831476 3.0607095, 101.4827345 3.0606693, 101.4823724 3.060656, 101.4822464 3.0606613, 101.4821686 3.0606667, 101.4818333 3.0606881, 101.4817582 3.0606881, 101.4816724 3.060672, 101.481152 3.060506, 101.4806022 3.0603399, 101.4804761 3.0603024, 101.4804117 3.060281)",,yes,,,,
5267845033,1791362530,0,545001708,True,,cycleway,138.75100000000003,"LINESTRING (101.4840939 3.0609373, 101.4837025 3.0608904, 101.4832612 3.0608297, 101.4831925 3.0608227, 101.4829614 3.0608758, 101.48288 3.06094)",,,,,,
5267845040,5267845033,0,498339317,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,23.047,"LINESTRING (101.4842918 3.0609998, 101.4840939 3.0609373)",,,,,,
5267845040,5267845041,0,545001711,True,,cycleway,44.126,"LINESTRING (101.4842918 3.0609998, 101.4838944 3.0609995)",,,,,,
5267845045,5267845047,0,"[199965445, 460285029, 460285030]",False,,cycleway,212.325,"LINESTRING (101.487143 3.0623982, 101.4871708 3.0623145, 101.4875797 3.06245, 101.4875667 3.0624892, 101.4873048 3.0624024, 101.4871536 3.0628715, 101.486927 3.0628004, 101.4869162 3.0628339, 101.4872117 3.0629258)",,yes,,,,
5267845045,5267845040,0,498339317,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,355.49299999999994,"LINESTRING (101.487143 3.0623982, 101.4869188 3.0622681, 101.4865218 3.0620219, 101.485862 3.0615854, 101.4856769 3.0614702, 101.485567 3.0614113, 101.4854007 3.0613443, 101.4845772 3.0610899, 101.4842918 3.0609998)",,,,,,
5267845047,5267845048,0,199965445,False,,cycleway,8.92,"LINESTRING (101.4872117 3.0629258, 101.4872328 3.0628484)",,,,,,
5267845047,5267845067,0,545001715,False,,cycleway,5.379,"LINESTRING (101.4872117 3.0629258, 101.4872382 3.0629663)",,,,,,
5267845047,5267845045,0,"[460285029, 199965445, 460285030]",False,,cycleway,212.32500000000002,"LINESTRING (101.4872117 3.0629258, 101.4869162 3.0628339, 101.486927 3.0628004, 101.4871536 3.0628715, 101.4873048 3.0624024, 101.4875667 3.0624892, 101.4875797 3.06245, 101.4871708 3.0623145, 101.487143 3.0623982)",,yes,,,,
5267845048,5267845047,0,199965445,False,,cycleway,8.92,"LINESTRING (101.4872328 3.0628484, 101.4872117 3.0629258)",,,,,,
