u,v,key,osmid,highway,oneway,length,geometry,name
2916981299,2916981294,0,288148082,cycleway,False,46.314,"LINESTRING (106.949479 47.9031269, 106.9500929 47.9030628)",Дугуйн зам
2916981299,2916981300,0,288148082,cycleway,False,32.51,"LINESTRING (106.949479 47.9031269, 106.949043 47.9031202)",Дугуйн зам
2916981300,2916981299,0,288148082,cycleway,False,32.51,"LINESTRING (106.949043 47.9031202, 106.949479 47.9031269)",Дугуйн зам
2916981300,2916981295,0,288148082,cycleway,False,39.762,"LINESTRING (106.949043 47.9031202, 106.9485158 47.9030658)",Дугуйн зам
2925739474,2916981045,0,288148082,cycleway,False,44.832,"LINESTRING (106.9434076 47.8978846, 106.9437697 47.8982065)",Дугуйн зам
2925739474,2916981041,0,288148082,cycleway,False,17.623,"LINESTRING (106.9434076 47.8978846, 106.9432752 47.8977533)",Дугуйн зам
3086947898,2916981152,0,288148082,cycleway,False,40.151,"LINESTRING (106.946301 47.9005938, 106.9463407 47.9009539)",Дугуйн зам
3086947898,2916981083,0,288148082,cycleway,False,22.2,"LINESTRING (106.946301 47.9005938, 106.9462678 47.9003954)",Дугуйн зам
3086947930,2916981295,0,288148082,cycleway,False,25.635,"LINESTRING (106.9481982 47.9029774, 106.9485158 47.9030658)",Дугуйн зам
3086947930,2916981287,0,288148082,cycleway,False,34.319,"LINESTRING (106.9481982 47.9029774, 106.9478095 47.902812)",Дугуйн зам
3086969529,3086969760,0,288148082,cycleway,False,6.163,"LINESTRING (106.9455783 47.8993154, 106.9456214 47.8993627)",Дугуйн зам
3086969529,2916981054,0,288148082,cycleway,False,32.531,"LINESTRING (106.9455783 47.8993154, 106.9453073 47.8990861)",Дугуйн зам
3086969756,2916981259,0,288148082,cycleway,False,26.185,"LINESTRING (106.946768 47.9020637, 106.9469445 47.9022673)",Дугуйн зам
3086969756,2916981229,0,288148082,cycleway,False,27.716,"LINESTRING (106.946768 47.9020637, 106.9465952 47.901843)",Дугуйн зам
3086969760,2916981057,0,288148082,cycleway,False,19.308,"LINESTRING (106.9456214 47.8993627, 106.9457477 47.8995143)",Дугуйн зам
3086969760,3086969529,0,288148082,cycleway,False,6.163,"LINESTRING (106.9456214 47.8993627, 106.9455783 47.8993154)",Дугуйн зам
3086969762,2916981054,0,288148082,cycleway,False,19.032,"LINESTRING (106.945126 47.8989656, 106.9453073 47.8990861)",Дугуйн зам
3086969762,2916981051,0,288148082,cycleway,False,21.965,"LINESTRING (106.945126 47.8989656, 106.9449168 47.8988265)",Дугуйн зам
3086969791,3086969796,0,288148082,cycleway,False,19.819,"LINESTRING (106.9458259 47.8996164, 106.9459321 47.8997798)",Дугуйн зам
3086969791,2916981057,0,288148082,cycleway,False,12.762,"LINESTRING (106.9458259 47.8996164, 106.9457477 47.8995143)",Дугуйн зам
3086969794,2916981076,0,288148082,cycleway,False,27.992,"LINESTRING (106.9459845 47.8998605, 106.9461152 47.9000965)",Дугуйн зам
3086969794,3086969796,0,288148082,cycleway,False,9.787,"LINESTRING (106.9459845 47.8998605, 106.9459321 47.8997798)",Дугуйн зам
3086969796,3086969794,0,288148082,cycleway,False,9.787,"LINESTRING (106.9459321 47.8997798, 106.9459845 47.8998605)",Дугуйн зам
3086969796,3086969791,0,288148082,cycleway,False,19.819,"LINESTRING (106.9459321 47.8997798, 106.9458259 47.8996164)",Дугуйн зам
3086969797,2916981083,0,288148082,cycleway,False,26.877,"LINESTRING (106.9461511 47.9001667, 106.9462678 47.9003954)",Дугуйн зам
3086969797,2916981076,0,288148082,cycleway,False,8.252,"LINESTRING (106.9461511 47.9001667, 106.9461152 47.9000965)",Дугуйн зам
3575634889,2916981033,0,288148082,cycleway,False,12.013,"LINESTRING (106.9429702 47.8964904, 106.9430122 47.8965947)",Дугуйн зам
3575634889,2916981030,0,288148082,cycleway,False,32.93,"LINESTRING (106.9429702 47.8964904, 106.9431204 47.8962119)",Дугуйн зам
3833014661,2166138724,0,379956817,cycleway,False,21.213,"LINESTRING (106.7590601 47.8582956, 106.7588595 47.8584308)",
3833014661,3834972450,0,380154054,cycleway,False,47.405,"LINESTRING (106.7590601 47.8582956, 106.7596852 47.858372)",
3834972450,2166138734,0,380154054,cycleway,False,112.895,"LINESTRING (106.7596852 47.858372, 106.7611752 47.858549)",
3834972450,3833014661,0,380154054,cycleway,False,47.405,"LINESTRING (106.7596852 47.858372, 106.7590601 47.8582956)",
480748138,1772198827,0,165675360,footway,False,8.411,"LINESTRING (106.9095147 47.8908401, 106.9094037 47.8908266)",
1772198740,1772198742,0,165675360,footway,False,20.065,"LINESTRING (106.8643598 47.888521, 106.8640908 47.8885259)",
1772198740,1772198745,0,165675360,footway,False,39.234,"LINESTRING (106.8643598 47.888521, 106.8648851 47.8885414)",
1772198742,1772198740,0,165675360,footway,False,20.065,"LINESTRING (106.8640908 47.8885259, 106.8643598 47.888521)",
1772198745,1772198740,0,165675360,footway,False,39.234,"LINESTRING (106.8648851 47.8885414, 106.8643598 47.888521)",
1772198745,1772198747,0,165675360,footway,False,20.047,"LINESTRING (106.8648851 47.8885414, 106.8651486 47.8885772)",
1772198747,1772198745,0,165675360,footway,False,20.047,"LINESTRING (106.8651486 47.8885772, 106.8648851 47.8885414)",
1772198747,1772198750,0,165675360,footway,False,31.48,"LINESTRING (106.8651486 47.8885772, 106.8655612 47.8886372)",
1772198750,1772198747,0,165675360,footway,False,31.48,"LINESTRING (106.8655612 47.8886372, 106.8651486 47.8885772)",
1772198750,1772198753,0,165675360,footway,False,53.19,"LINESTRING (106.8655612 47.8886372, 106.8662506 47.8887601)",
1772198753,1772198750,0,165675360,footway,False,53.19,"LINESTRING (106.8662506 47.8887601, 106.8655612 47.8886372)",
1772198753,1772198754,0,165675360,footway,False,50.479,"LINESTRING (106.8662506 47.8887601, 106.8668945 47.8889003)",
1772198754,1772198753,0,165675360,footway,False,50.479,"LINESTRING (106.8668945 47.8889003, 106.8662506 47.8887601)",
1772198754,1772198760,0,165675360,footway,False,45.484,"LINESTRING (106.8668945 47.8889003, 106.8674712 47.8890336)",
1772198760,1772198754,0,165675360,footway,False,45.484,"LINESTRING (106.8674712 47.8890336, 106.8668945 47.8889003)",
