u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,access,service,lanes,tunnel
2498989456,2498989458,0,388672558,,service,30,False,12.189,"LINESTRING (106.9130428 47.9262108, 106.9129555 47.9263035)",,,,
2498989456,6558148779,0,388672558,,service,30,False,13.795,"LINESTRING (106.9130428 47.9262108, 106.9131365 47.9261038)",,,,
2498989458,6558148780,0,388672558,,service,30,False,14.847,"LINESTRING (106.9129555 47.9263035, 106.9128363 47.9264105)",,,,
2498989458,2498989456,0,388672558,,service,30,False,12.189,"LINESTRING (106.9129555 47.9263035, 106.9130428 47.9262108)",,,,
2533551624,3891486828,0,385817188,,residential,20,False,147.102,"LINESTRING (106.8671944 47.9125851, 106.8691463 47.9127813)",,,,
2863521964,3918420983,0,388672558,,service,30,False,54.098,"LINESTRING (106.9127214 47.9266454, 106.9120062 47.9265616)",,,,
2863521964,3918420982,0,388672558,,service,30,False,13.371,"LINESTRING (106.9127214 47.9266454, 106.9127602 47.926528)",,,,
2921518399,6226234813,0,166194521,,residential,20,False,5.63,"LINESTRING (106.9306642 47.9173362, 106.9305888 47.917333)",,,,
2921518399,1776770739,0,166194521,,residential,20,False,30.803,"LINESTRING (106.9306642 47.9173362, 106.9310769 47.9173516)",,,,
2921518611,1776774453,0,166194653,,residential,20,False,55.806,"LINESTRING (106.9315771 47.9171962, 106.9317674 47.9167108)",,,,
2921518611,1776774446,0,166194653,,residential,20,False,9.079,"LINESTRING (106.9315771 47.9171962, 106.9315946 47.917277)",,,,
2921518612,2921518613,0,241409484,,residential,20,False,39.895,"LINESTRING (106.9317059 47.9143792, 106.9311748 47.9143343)",,,,
