u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel,width,bridge,est_width,access
245389109,5364206929,0,22811312,,,cycleway,,False,28.851,"LINESTRING (9.079714600000001 48.7270967, 9.0799219 48.7273172)",,,,,,
245389112,5364224530,0,22811312,,,cycleway,,False,29.797,"LINESTRING (9.079455100000001 48.7263463, 9.0795203 48.7266108)",,,,,,
246647403,3012366609,0,368761448,,,cycleway,,False,7.964,"LINESTRING (9.1669751 48.7789795, 9.166866499999999 48.7789824)",,,,,,
248209217,5903940689,0,354909248,,,cycleway,,False,8.366,"LINESTRING (9.2049973 48.7273183, 9.2049685 48.7273911)",,,,,,
249170587,1426313424,0,23621947,,,cycleway,,True,5.92,"LINESTRING (9.1061923 48.8201941, 9.106169100000001 48.8201431)",,,,,,
249578202,3532688233,0,346762344,,Tübinger Straße,path,,False,5.665,"LINESTRING (9.172152499999999 48.7696312, 9.1722266 48.7696457)",,,4,,,
249578202,4141747341,0,432575531,,Tübinger Straße,residential,30,False,14.623,"LINESTRING (9.172152499999999 48.7696312, 9.1720679 48.7695121)",,,11,,,
255104780,3648092166,0,360209445,,Ferdinand-Leitner-Steg,cycleway,,False,9.919,"LINESTRING (9.185414099999999 48.7824548, 9.1852973 48.7824097)",,,3,,,
255104780,3648092169,0,546461287,,,cycleway,,False,4.709,"LINESTRING (9.185414099999999 48.7824548, 9.185470499999999 48.7824751)",,,5,,,
255882805,59848091,0,23621948,,,cycleway,,True,25.472,"LINESTRING (9.104786900000001 48.820055, 9.105106899999999 48.8201449)",,,,,,
255882805,3883894055,0,342973810,,,path,,False,20.932,"LINESTRING (9.104786900000001 48.820055, 9.1050728 48.8200554)",,,,,,
255882805,255882806,0,804172086,,,path,,False,15.443,"LINESTRING (9.104786900000001 48.820055, 9.1045771 48.8200406)",,,3,,,
268210749,2218284543,0,581658642,,,cycleway,,True,11.062,"LINESTRING (9.1880291 48.7892145, 9.1880823 48.7893076)",,,,,,
268986890,5714056687,0,233167837,,,cycleway,,False,5.531,"LINESTRING (9.1385588 48.7531149, 9.138485899999999 48.7531021)",,,3.5,,,
268986890,443879823,0,233167838,,,path,,False,49.072,"LINESTRING (9.1385588 48.7531149, 9.138925499999999 48.7534841)",,,2.5,,,
271798909,3477351306,0,26743748,,,cycleway,,False,11.45,"LINESTRING (9.222790399999999 48.8375782, 9.2226342 48.8375839)",,,,,,
271798909,4128365171,0,26743748,,,cycleway,,False,13.225,"LINESTRING (9.222790399999999 48.8375782, 9.2229688 48.8375593)",,,,,,
271798912,3477351300,0,26743748,,,cycleway,,False,6.164,"LINESTRING (9.2192188 48.8375705, 9.2192811 48.8375332)",,,,,,
274826901,59720818,0,153482914,,,cycleway,,False,4.665,"LINESTRING (9.2113292 48.8045519, 9.211392200000001 48.8045457)",,,2.4,,,
274826904,5543864793,0,153482914,,,cycleway,,False,4.619,"LINESTRING (9.211599400000001 48.804604, 9.2115507 48.8045776)",,,2.4,,,
274826904,726533836,0,578652022,,,cycleway,,False,5.506,"LINESTRING (9.211599400000001 48.804604, 9.2116574 48.8046355)",,,2.4,,,
